panel,llm,llm_display,predictive_model,n_rows,n_groups,cv_r2,cv_pearson_r,cv_spearman_rho,mean_fold_r2,sd_fold_r2,mean_fold_pearson_r,sd_fold_pearson_r,mean_fold_spearman_rho,sd_fold_spearman_rho
Collections,Claude Sonnet 4.6,Claude Sonnet 4.6,extra_trees,717,717,0.13664156925319726,0.37744128122124143,0.28764190035357734,0.12953931937249652,0.07169747741165224,0.3760241541037831,0.07651741729695238,0.28757893391591083,0.03778235621338309
Collections,GPT-4.1,GPT-4.1,extra_trees,716,716,0.26262443937572444,0.5130251789049352,0.4634370964209341,0.26237169720356174,0.061020073770809195,0.511550774099511,0.05775026784092978,0.4661892068983752,0.029673859352553938
Collections,Gemini 2.5 Pro,Gemini Pro 2.5,extra_trees,717,717,0.17101403447262242,0.4160286183099795,0.3089647626936581,0.16628976156337022,0.0856229331722983,0.41456528642326473,0.09256676687323648,0.29872323523649075,0.1160466430023978
Individual papers,Claude Sonnet 4.6,Claude Sonnet 4.6,ridge,2011,2011,0.006988799323122907,0.0890331685678167,0.09150588072991357,0.006420775030955661,0.004859981814828348,0.09116535814502694,0.023284773333088326,0.09300050286501306,0.022711838670656664
Individual papers,GPT-4.1,GPT-4.1,ridge,2010,2010,0.008659011510548265,0.0951759964086642,0.1388454456215002,0.005727947385886156,0.014313998254592819,0.11478935779794656,0.03940752075826672,0.15238378090213664,0.04598893299804632
Individual papers,Gemini 2.5 Pro,Gemini Pro 2.5,ridge,2011,2011,0.03018815391745555,0.1737725888648853,0.15009974221765116,0.031122786324046525,0.029443912663166653,0.18298616382703842,0.08091016786383318,0.15782288791605578,0.07830145735694673
