parameter,label,n_papers_mentioned,percent_papers_mentioned,n_papers_varied,percent_papers_varied,n_papers_total
CONFIG_playerCount,Group size,150,97.40259740259741,18,11.688311688311687,154
CONFIG_numRounds,Number of rounds,148,96.1038961038961,14,9.090909090909092,154
CONFIG_rewardExists,Reward exists,76,49.35064935064935,9,5.844155844155844,154
CONFIG_punishmentTech,Punishment technology,72,46.75324675324675,8,5.194805194805195,154
CONFIG_punishmentCost,Punishment cost,75,48.701298701298704,6,3.896103896103896,154
CONFIG_chat,Chat,38,24.675324675324674,6,3.896103896103896,154
CONFIG_allOrNothing,All-or-nothing,141,91.55844155844156,4,2.5974025974025974,154
CONFIG_MPCR,MPCR,76,49.35064935064935,2,1.2987012987012987,154
CONFIG_showOtherSummaries,Show other summaries,72,46.75324675324675,2,1.2987012987012987,154
CONFIG_rewardTech,Reward technology,9,5.844155844155844,2,1.2987012987012987,154
CONFIG_defaultContribProp,Default contribution,95,61.68831168831169,1,0.6493506493506493,154
CONFIG_showAnyId,Show punishment/reward ID,22,14.285714285714285,1,0.6493506493506493,154
CONFIG_showNRounds,Show number of rounds,17,11.03896103896104,1,0.6493506493506493,154
CONFIG_rewardCost,Reward cost,10,6.493506493506493,1,0.6493506493506493,154
