panel,model,analysis,feature_key,feature_label,coef,ci_low,ci_high,p_value,significant_95,direction,n,r2_in_sample
Individual papers,GPT-4.1 Mini,multivariable_ols_hc3,empirical_share,Empirical papers,-0.011581044947939727,-0.014214780776862864,-0.00894730911901659,6.793168217772122e-18,True,negative,2011,0.0899109420494747
Individual papers,GPT-4.1 Nano,multivariable_ols_hc3,empirical_share,Empirical papers,-0.007409951501787006,-0.011587258916800684,-0.0032326440867733288,0.0005076284665489142,True,negative,2011,0.013445064637247262
Individual papers,GPT-5.1,multivariable_ols_hc3,empirical_share,Empirical papers,-0.010060883949464076,-0.013728554131761198,-0.006393213767166955,7.597742545825422e-08,True,negative,2011,0.02826158787047961
Individual papers,GPT-5 Mini,multivariable_ols_hc3,empirical_share,Empirical papers,-0.012663853484459052,-0.01613612877861863,-0.009191578190299473,8.789024175329399e-13,True,negative,2011,0.049234444742962014
Individual papers,GPT-5 Nano,multivariable_ols_hc3,empirical_share,Empirical papers,-0.008634989854743057,-0.011838577329603642,-0.005431402379882472,1.271468200712543e-07,True,negative,2011,0.024313819363736444
Collections,GPT-4.1 Mini,multivariable_ols_hc3,empirical_share,Empirical papers,-0.01264233795067119,-0.017508707024380173,-0.0077759688769622045,3.546997295974601e-07,True,negative,716,0.21849788045588603
Collections,GPT-4.1 Mini,multivariable_ols_hc3,mathphysics_share,Math/Physics Journals,-0.010322962317831355,-0.015067833157974778,-0.00557809147768793,2.0070374920378207e-05,True,negative,716,0.21849788045588603
Collections,GPT-4.1 Nano,multivariable_ols_hc3,empirical_share,Empirical papers,-0.004557249261083044,-0.010770733434053534,0.0016562349118874444,0.15056861927839182,False,negative,716,0.057233661829347415
Collections,GPT-4.1 Nano,multivariable_ols_hc3,mathphysics_share,Math/Physics Journals,-0.00779993712655146,-0.014537975165035539,-0.0010618990880673805,0.023277465022323404,True,negative,716,0.057233661829347415
Collections,GPT-5.1,multivariable_ols_hc3,empirical_share,Empirical papers,-0.011841893378992545,-0.018845241545259007,-0.004838545212726082,0.0009194386113772541,True,negative,716,0.07626313117584615
Collections,GPT-5.1,multivariable_ols_hc3,mathphysics_share,Math/Physics Journals,-0.019686400480912074,-0.026922711167220652,-0.012450089794603495,9.709056353019091e-08,True,negative,716,0.07626313117584615
Collections,GPT-5 Mini,multivariable_ols_hc3,empirical_share,Empirical papers,-0.011311906684730758,-0.017338766418322316,-0.005285046951139201,0.00023443789822985293,True,negative,716,0.0906227316821766
Collections,GPT-5 Mini,multivariable_ols_hc3,mathphysics_share,Math/Physics Journals,-0.012772471078769065,-0.01942635171936835,-0.006118590438169779,0.0001683894867900895,True,negative,716,0.0906227316821766
Collections,GPT-5 Nano,multivariable_ols_hc3,empirical_share,Empirical papers,-0.008930195643342735,-0.01433131059125101,-0.0035290806954344604,0.0011927775076641953,True,negative,716,0.11679671892385068
Collections,GPT-5 Nano,multivariable_ols_hc3,mathphysics_share,Math/Physics Journals,-0.014236742464623663,-0.01997343829450343,-0.008500046634743892,1.150152250610841e-06,True,negative,716,0.11679671892385068
Individual papers,GPT-4.1 Mini,univariate_ols_hc3,empirical_share,Empirical papers,-0.013694959583148135,-0.01601331958647996,-0.011376599579816309,5.336689765308198e-31,True,negative,2011,0.06490217279889621
Individual papers,GPT-4.1 Nano,univariate_ols_hc3,empirical_share,Empirical papers,-0.007369482417648581,-0.010872417563348731,-0.0038665472719484313,3.733588367031059e-05,True,negative,2011,0.008758709390880415
Individual papers,GPT-5.1,univariate_ols_hc3,empirical_share,Empirical papers,-0.008110368252168893,-0.01104811169756579,-0.005172624806771998,6.268570085891718e-08,True,negative,2011,0.014642464340259065
Individual papers,GPT-5 Mini,univariate_ols_hc3,empirical_share,Empirical papers,-0.011998863827840323,-0.014563131219805556,-0.00943459643587509,4.678976490146927e-20,True,negative,2011,0.04105723607612877
Individual papers,GPT-5 Nano,univariate_ols_hc3,empirical_share,Empirical papers,-0.007095552126036074,-0.009937772852047073,-0.0042533314000250755,9.930319496949855e-07,True,negative,2011,0.011926633254069285
Collections,GPT-4.1 Mini,univariate_ols_hc3,empirical_share,Empirical papers,-0.00856021345626964,-0.012437341210887576,-0.004683085701651706,1.5091029214858897e-05,True,negative,716,0.02417296024690585
Collections,GPT-4.1 Mini,univariate_ols_hc3,mathphysics_share,Math/Physics Journals,-0.006244708462323919,-0.010294937331807325,-0.002194479592840511,0.0025119002136690495,True,negative,716,0.012864265212638393
Collections,GPT-4.1 Nano,univariate_ols_hc3,empirical_share,Empirical papers,0.0010803241795859595,-0.0037263325352260403,0.005886980894397959,0.6595653406392226,False,positive,716,0.0002226787390402496
Collections,GPT-4.1 Nano,univariate_ols_hc3,mathphysics_share,Math/Physics Journals,-0.008423730599943585,-0.013740571772558332,-0.003106889427328839,0.0019010767696397645,True,negative,716,0.013538778989936162
Collections,GPT-5.1,univariate_ols_hc3,empirical_share,Empirical papers,-0.004678512540127442,-0.010312898750670135,0.0009558736704152514,0.10364026987851074,False,negative,716,0.003937251549928966
Collections,GPT-5.1,univariate_ols_hc3,mathphysics_share,Math/Physics Journals,-0.012123454593797474,-0.017984169337408776,-0.006262739850186173,5.026855693748102e-05,True,negative,716,0.026438106476692536
Collections,GPT-5 Mini,univariate_ols_hc3,empirical_share,Empirical papers,-0.005693340945668222,-0.00985228530399532,-0.0015343965873411249,0.007294949043247988,True,negative,716,0.010274036670446463
Collections,GPT-5 Mini,univariate_ols_hc3,mathphysics_share,Math/Physics Journals,-0.00758698824510968,-0.0122648057717871,-0.00290917071843226,0.001478449431327218,True,negative,716,0.018245070643122085
Collections,GPT-5 Nano,univariate_ols_hc3,empirical_share,Empirical papers,-0.0032416311384554867,-0.007333182620366289,0.0008499203434553159,0.12046396411174647,False,negative,716,0.0038381784016757736
Collections,GPT-5 Nano,univariate_ols_hc3,mathphysics_share,Math/Physics Journals,-0.009492296103419834,-0.013577569891864023,-0.0054070223149756454,5.26217739535899e-06,True,negative,716,0.032910957726888235
