model,condition,correlation,ci_low,ci_high
GPT-4.1 Mini,baseline,0.9097140880571433,0.5952558860038206,0.999
GPT-4.1 Mini,benchmark,0.9576868288245699,0.7199474943465075,0.999
GPT-5.1,baseline,0.8844396372922505,0.5716605399562293,0.999
GPT-5.1,benchmark,0.9999992139670063,0.8323566287430882,0.9999992139670063
GPT-5 Mini,baseline,0.8572338358229942,0.4866812724341023,0.999
GPT-5 Mini,benchmark,0.9999999116637227,0.8935759140647392,0.9999999116637227
GPT-4.1,baseline,0.7750516515342499,0.3563849915354543,0.9666593559438269
GPT-4.1,benchmark,0.9760628775125931,0.7755313950995303,0.999
GPT-5 Nano,baseline,0.7400395900423755,0.3134325542727628,0.9458513480503868
GPT-5 Nano,benchmark,0.9205328844257297,0.6485850277032039,0.999
GPT-4.1 Nano,baseline,0.7397712244070808,0.319183756978366,0.944035502426633
GPT-4.1 Nano,benchmark,0.7698487866635773,0.34750738807188447,0.9686147736356444
