model,baseline_correlation,correlation,delta_correlation,p_value,lr_stat,paired_sig_label
GPT-4.1 Mini,0.9097140880571433,0.9576868288245699,0.047972740767426636,0.1545444847414569,2.026812055947346,n.s.
GPT-5.1,0.8844396372922505,0.9999992139670063,0.1155595766747558,0.07775716728588787,3.11116827911718,n.s.
GPT-5 Mini,0.8572338358229942,0.9999999116637227,0.14276607584072853,0.007621087353070858,7.120419459269385,**
GPT-4.1,0.7750516515342499,0.9760628775125931,0.2010112259783432,0.009202281104495868,6.783141095937879,**
GPT-5 Nano,0.7400395900423755,0.9205328844257297,0.18049329438335415,0.0017884484585657249,9.754905396065226,**
GPT-4.1 Nano,0.7397712244070808,0.7698487866635773,0.030077562256496493,0.8553971880271761,0.03321011484462133,n.s.
