model,baseline_correlation,benchmark_correlation,mean_augmented_correlation,n_collections
GPT-5 Mini,0.8572338358229942,0.9999999116637227,0.8633963101518207,716
GPT-5 Nano,0.7400395900423755,0.9205328844257297,0.9348070831927,716
GPT-4.1,0.7750516515342499,0.9760628775125931,0.8477290987884142,715
GPT-4.1 Mini,0.9097140880571433,0.9576868288245699,0.9535406080154905,716
GPT-5.1,0.8844396372922505,0.9999992139670063,0.7886040144534329,716
