model,baseline_correlation,benchmark_correlation,mean_augmented_correlation,n_papers
GPT-5 Mini,0.8572338358229942,0.9999999116637227,0.9728907584769525,2011
GPT-5 Nano,0.7400395900423755,0.9205328844257297,0.9728870176971247,2011
GPT-4.1,0.7750516515342499,0.9760628775125931,0.8680896701006731,2011
GPT-4.1 Mini,0.9097140880571433,0.9576868288245699,0.851600759646924,2011
GPT-5.1,0.8844396372922505,0.9999992139670063,0.9987294428090677,2011
