model,model_name,cv_r2,cv_spearman
GPT-4.1,extra_trees,0.2170757732212835,0.4726914924763988
GPT-4.1 Mini,gradient_boosting,0.2047434416057729,0.4134973976258658
GPT-5 Mini,gradient_boosting,0.1666066848768685,0.2320289761994692
GPT-5 Nano,random_forest,0.0905148534917321,0.2255610846100634
GPT-5.1,gradient_boosting,0.1270810891515323,0.3087245612432027
