kind,model_a,model_b,n_items,spearman_rank_corr,pearson_value_corr,ci_aware_order_agreement,ci_aware_pair_coverage,top_10_pct_jaccard
papers,GPT-5 Mini,GPT-5 Nano,2011,0.3955822434103964,0.45257257439704257,0.9750765000665218,0.011157044217005474,0.2484472049689441
papers,GPT-5 Mini,GPT-4.1,2011,0.3755913834291566,0.5117248513907503,0.9625682066205893,0.013601806977049116,0.21450151057401812
papers,GPT-5 Mini,GPT-4.1 Mini,2011,0.4547973566050131,0.516129555083231,0.9848484848484849,0.011429674105850657,0.18235294117647058
papers,GPT-5 Mini,GPT-5.1,2011,0.3052213623078699,0.4322981184525445,0.9639333106498809,0.010179337029422753,0.2
papers,GPT-5 Nano,GPT-4.1,2011,0.36099850681977635,0.38909174217967635,0.9480603535455685,0.012231730457607537,0.18235294117647058
papers,GPT-5 Nano,GPT-4.1 Mini,2011,0.3632645219435876,0.41200959490941236,0.9643421572500988,0.010018529926201909,0.17201166180758018
papers,GPT-5 Nano,GPT-5.1,2011,0.26341588030298857,0.2757926883371422,0.9498589999312195,0.007193767611470247,0.17888563049853373
papers,GPT-4.1,GPT-4.1 Mini,2011,0.4624747147585342,0.5180863370352498,0.9792150487691593,0.012783422519426735,0.1893491124260355
papers,GPT-4.1,GPT-5.1,2011,0.2615322168342314,0.3760772170069837,0.9346981200289226,0.010948737169448629,0.16184971098265896
papers,GPT-4.1 Mini,GPT-5.1,2011,0.3021589059282868,0.4020527626729499,0.9748783168472288,0.009453973296125044,0.1452991452991453
collections,GPT-5 Mini,GPT-5 Nano,715,0.2945692261917915,0.5211753483037338,0.9922504649721017,0.012638342050106756,0.18032786885245902
collections,GPT-5 Mini,GPT-4.1,715,0.450562306987806,0.6232567785603444,0.9988878591288229,0.021135727018079958,0.2
collections,GPT-5 Mini,GPT-4.1 Mini,715,0.4097345966553985,0.5352095631430821,0.9933087989294078,0.011709858768682298,0.18032786885245902
collections,GPT-5 Mini,GPT-5.1,715,0.4707834065375965,0.5926893486438849,0.9961505560307955,0.01831893596599479,0.22033898305084745
collections,GPT-5 Nano,GPT-4.1,715,0.41037416454619025,0.5179787008159583,0.9931959175505303,0.019576501929443105,0.21008403361344538
collections,GPT-5 Nano,GPT-4.1 Mini,715,0.4315734686468141,0.4961444046464854,0.9967862881628281,0.014628508746155806,0.19008264462809918
collections,GPT-5 Nano,GPT-5.1,715,0.342651904213168,0.44578267604770777,0.9694757796947578,0.01180780004309416,0.21008403361344538
collections,GPT-4.1,GPT-4.1 Mini,715,0.6376947620051224,0.6534521136587563,0.9988007538118897,0.02286732874968169,0.3090909090909091
collections,GPT-4.1,GPT-5.1,715,0.44177152490765503,0.5513548064352681,0.9918458117123795,0.021139644669056434,0.18032786885245902
collections,GPT-4.1 Mini,GPT-5.1,715,0.44261660127581914,0.5138211122179102,0.9919544083137781,0.01168635286282345,0.16129032258064516
