feature_key,mean_importance,sd_importance,n_folds,se_importance,model,model_name,feature_label
biology_share,0.17218566327305979,0.6781266960743824,5,0.30326747795593173,GPT-4.1,extra_trees,Biology Journals
citation,3.424106056855982,1.4167902338146323,5,0.6336078545334678,GPT-4.1,extra_trees,Higher citation
collection_size,11.902506960819924,2.9099704060761007,5,1.3013783280997655,GPT-4.1,extra_trees,Larger collection size
economics_share,0.384822005122653,0.5677408992325744,5,0.2539014488581789,GPT-4.1,extra_trees,Economics Journals
empirical_share,6.473122495696243,0.8940704254522861,5,0.39984044959669396,GPT-4.1,extra_trees,Empirical papers
journal_impact,1.4196595591861236,1.5508281973622218,5,0.6935514541450776,GPT-4.1,extra_trees,Higher journal impact factor
mathphysics_share,2.888158827048,1.0455471808606007,5,0.467582914017514,GPT-4.1,extra_trees,Math/Physics Journals
multidisciplinary_share,0.8090970529281462,0.38092605083823516,5,0.1703553088149669,GPT-4.1,extra_trees,Multidisciplinary Journals
psychology_share,1.4759470092235203,0.37100072422832536,5,0.16591656781523773,GPT-4.1,extra_trees,Psychology Journals
recent,2.818561976655781,1.4418516929797398,5,0.6448156797951708,GPT-4.1,extra_trees,More recent paper
biology_share,0.5236861324520062,0.6530917398477591,5,0.2920715051686395,GPT-4.1 Mini,gradient_boosting,Biology Journals
citation,6.910604177642438,3.162867309776974,5,1.4144772616946397,GPT-4.1 Mini,gradient_boosting,Higher citation
collection_size,6.654553811943616,3.317285930628624,5,1.483535368337851,GPT-4.1 Mini,gradient_boosting,Larger collection size
economics_share,0.8082266449680539,0.9381608635945308,5,0.41955829296545566,GPT-4.1 Mini,gradient_boosting,Economics Journals
empirical_share,2.8265058029613797,1.0949300374323225,5,0.48966759886101247,GPT-4.1 Mini,gradient_boosting,Empirical papers
journal_impact,7.499065844699226,2.6805086815448322,5,1.198759925242516,GPT-4.1 Mini,gradient_boosting,Higher journal impact factor
mathphysics_share,0.9541780291923818,0.821989925149108,5,0.3676050698906739,GPT-4.1 Mini,gradient_boosting,Math/Physics Journals
multidisciplinary_share,0.4249326444445828,0.39179507871808905,5,0.17521608585270565,GPT-4.1 Mini,gradient_boosting,Multidisciplinary Journals
psychology_share,1.3268610948015822,0.9030888571776284,5,0.4038736148743552,GPT-4.1 Mini,gradient_boosting,Psychology Journals
recent,1.5451783206324623,1.3887335451527472,5,0.6210605219191632,GPT-4.1 Mini,gradient_boosting,More recent paper
biology_share,0.7255969038600429,0.31982690428000804,5,0.14303093980068327,GPT-5.1,gradient_boosting,Biology Journals
citation,9.880427373496818,2.5934228827490844,5,1.1598139720460838,GPT-5.1,gradient_boosting,Higher citation
collection_size,3.412726683575367,0.6062492005248233,5,0.27112288473568125,GPT-5.1,gradient_boosting,Larger collection size
