model,baseline_correlation,mean_augmented_correlation,n_collections,benchmark_correlation
GPT-5 Mini,0.5310259892384347,0.5762401940769324,716,0.8314431584792839
GPT-5 Nano,0.5338804163945045,0.5925827111903182,716,0.7294717699743852
GPT-4.1,0.5474887590726345,0.6082827023692898,715,0.8000280585971136
GPT-4.1 Mini,0.617575575237834,0.6221317096961944,716,0.7648078121607139
GPT-5.1,0.6670422982180187,0.549900837846142,716,0.83061577232785
