model,baseline_correlation,mean_augmented_correlation,share_augmented_papers_below_baseline,share_augmented_papers_above_baseline,n_papers,benchmark_correlation
GPT-5 Mini,0.5310259892384347,0.5627794116846606,0.1979114868224764,0.8020885131775236,2011,0.8314431584792839
GPT-5 Nano,0.5338804163945045,0.5679635230335117,0.12779711586275486,0.8722028841372451,2011,0.7294717699743852
GPT-4.1,0.5474887590726345,0.5859529311064314,0.12381899552461462,0.8761810044753854,2011,0.8000280585971136
GPT-4.1 Mini,0.617575575237834,0.5951106384441012,0.6653406265539532,0.3346593734460468,2011,0.7648078121607139
GPT-5.1,0.6670422982180187,0.5923828555318267,0.8960716061660865,0.1039283938339135,2011,0.83061577232785
