model,variant_id,correlation,baseline_correlation
GPT-5 Mini,citation_q2__year_q4_newest__discipline_bio_evo,0.5143066048622131,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q2__jcr_q4,0.5161534547805786,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q4_newest__discipline_psych_social,0.5178853273391724,0.5310259892384347
GPT-5 Mini,citation_q3__year_q4_newest__discipline_multidisciplinary,0.5182133316993713,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q3__year_q3,0.5185528993606567,0.5310259892384347
GPT-5 Mini,jcr_q1__year_q1_oldest__discipline_bio_evo,0.5196817517280579,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q2__year_q1_oldest,0.5203164219856262,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q1__discipline_other,0.5203514099121094,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q4__discipline_bio_evo,0.5208268165588379,0.5310259892384347
GPT-5 Mini,citation_q4_highest__jcr_q1__discipline_math_phys_cs,0.5211708545684814,0.5310259892384347
GPT-5 Mini,jcr_q3__discipline_math_phys_cs,0.5218631625175476,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q1__year_q1_oldest,0.5235326290130615,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q4_highest__year_q4_newest,0.5237593054771423,0.5310259892384347
GPT-5 Mini,citation_q3__discipline_math_phys_cs,0.5238264799118042,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q3__discipline_math_phys_cs,0.5242896676063538,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q3__year_q4_newest,0.5244969725608826,0.5310259892384347
GPT-5 Mini,citation_q3__year_q2__discipline_economics,0.524619996547699,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q2__year_q4_newest,0.5256452560424805,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q3__year_q3,0.5274789929389954,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q1__discipline_bio_evo,0.527700662612915,0.5310259892384347
GPT-5 Mini,jcr_q2__year_q1_oldest__discipline_psych_social,0.5283758640289307,0.5310259892384347
GPT-5 Mini,jcr_q4__discipline_math_phys_cs,0.5295951962471008,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__year_q3__discipline_other,0.529637336730957,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q1__discipline_bio_evo,0.5296916365623474,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest,0.5298088788986206,0.5310259892384347
GPT-5 Mini,jcr_q3__year_q1_oldest__discipline_economics,0.5299500823020935,0.5310259892384347
GPT-5 Mini,type_theoretical__year_q1_oldest__discipline_math_phys_cs,0.5301855802536011,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q4_newest,0.5321866273880005,0.5310259892384347
GPT-5 Mini,type_theoretical__citation_q2__jcr_q2,0.5321917533874512,0.5310259892384347
GPT-5 Mini,citation_q4_highest__jcr_q3__year_q1_oldest,0.532278299331665,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q4__year_q1_oldest,0.5323532223701477,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q3__year_q1_oldest,0.5324311852455139,0.5310259892384347
GPT-5 Mini,type_theoretical__jcr_q4__year_q1_oldest,0.5326647162437439,0.5310259892384347
GPT-5 Mini,citation_q2__year_q2,0.5332438349723816,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q3__discipline_bio_evo,0.53342604637146,0.5310259892384347
GPT-5 Mini,citation_q2__jcr_q2__discipline_multidisciplinary,0.5336512327194214,0.5310259892384347
GPT-5 Mini,type_empirical__year_q4_newest,0.533831000328064,0.5310259892384347
GPT-5 Mini,type_theoretical__year_q1_oldest__discipline_economics,0.5344610810279846,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q1_oldest,0.5344786643981934,0.5310259892384347
GPT-5 Mini,type_empirical__year_q2__discipline_multidisciplinary,0.5351201891899109,0.5310259892384347
