dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman,dataset_label,scope_order,se_fold_r2,se_fold_spearman
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,extra_trees,715,715,0.2161174483315859,0.4724884914008805,0.2099745201355049,0.4699917204289493,0.054648706572369,0.0353432778229667,Collections,0,0.02443964455565132,0.015805994351962862
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,1955,1955,0.0179338768289193,0.171585509388648,0.0213274856281514,0.1752718647977622,0.0280851853426709,0.0492962329947581,Individual papers,0,0.012560076717378571,0.022045945602189428
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,gradient_boosting,716,716,0.2044233116870571,0.4137015271958354,0.1996827579165225,0.4136285464575897,0.0922461108231588,0.0904363312776529,Collections,1,0.04125371489211243,0.040444356874504456
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,1955,1955,0.1592264788578564,0.4356106298647992,0.1590577508600636,0.4378072165320978,0.0448772169746938,0.0378395906984547,Individual papers,1,0.02006970155928456,0.01692237940850269
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.1279847227595169,0.3088014530991553,0.1196394823706725,0.3051673476272796,0.053452026392308,0.0382428627170102,Collections,2,0.023904472909662706,0.01710272813788542
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,1955,1955,0.0431699674863392,0.2242386188888936,0.0429672314115472,0.2280679094380227,0.0131645379059934,0.030597687830122,Individual papers,2,0.005887360330034796,0.013683701988494166
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,gradient_boosting,716,716,0.1631565748478185,0.2320770336102252,0.1573047713362893,0.230386486645354,0.0938879415521973,0.0946813623714245,Collections,3,0.041987963915648054,0.04234279249295917
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,1955,1955,0.0601019916125061,0.3134166177892588,0.0598777271320936,0.3136992510461114,0.0100218052279344,0.0171062249054372,Individual papers,3,0.004481887549384818,0.0076501363453914985
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,random_forest,716,716,0.0903438269786979,0.225187250237325,0.0873850521008842,0.2247199463425349,0.0213950441102673,0.034594219107462,Collections,4,0.009568154602432837,0.015471005110561426
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,1955,1955,0.0255611344842401,0.1931548932659212,0.0274288174522881,0.1956943492364874,0.0148102444989342,0.0302979731809055,Individual papers,4,0.006623342692601836,0.013549665522594047
