item_type,model,feature_key,feature_label,coef,ci_low,ci_high,n
Collections,GPT-4.1,journal_impact,Journal Impact Factor,0.003438183437054909,-0.0027289742509255983,0.009776241486673982,715
Collections,GPT-4.1,citation,Citation,-0.0032144178174065333,-0.00874272900604378,0.0017410788586920756,715
Collections,GPT-4.1,empirical_share,Empirical papers,-0.013475636187268438,-0.019318620114768176,-0.008514324303724279,715
Collections,GPT-4.1,recent,Publication Year,-0.0006226098373035679,-0.005267617675448299,0.0034679940552132,715
Collections,GPT-4.1,biology_share,Biology Journals,0.004047904679501542,-0.00033081296748693436,0.008052328657752081,715
Collections,GPT-4.1,economics_share,Economics Journals,-0.00040160540822122394,-0.006096834731708909,0.004807846612193963,715
Collections,GPT-4.1,psychology_share,Psychology Journals,0.0019788556797635656,-0.0022925359570884793,0.006585933355508276,715
Collections,GPT-4.1,mathphysics_share,Math/Physics Journals,-0.011331928134085867,-0.01630569091962838,-0.006707798945325719,715
Collections,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.0017021017441863867,-0.004766983953612798,0.0019027469718023808,715
Collections,GPT-4.1,collection_size,Number of Papers,0.020264833941572788,0.01688470551321784,0.024358674190482682,715
Collections,GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.008706363078093637,0.003461368250366932,0.014829568649996383,716
Collections,GPT-4.1 Mini,citation,Citation,-0.008923749938024281,-0.01554738362977194,-0.004281251003317849,716
Collections,GPT-4.1 Mini,empirical_share,Empirical papers,-0.01162528046687404,-0.01690242520219558,-0.007934880769702128,716
Collections,GPT-4.1 Mini,recent,Publication Year,-0.006620136566596455,-0.01217952960404821,-0.0021785659072210235,716
Collections,GPT-4.1 Mini,biology_share,Biology Journals,0.003708004511435724,-0.000209758367475651,0.007517114802286949,716
Collections,GPT-4.1 Mini,economics_share,Economics Journals,-0.0011093224311168421,-0.005696451360682537,0.0036247594724974543,716
Collections,GPT-4.1 Mini,psychology_share,Psychology Journals,-0.0014486769620495122,-0.005429128243398333,0.0028718013289107855,716
Collections,GPT-4.1 Mini,mathphysics_share,Math/Physics Journals,-0.009651130568116437,-0.01422977380618208,-0.005133078146245486,716
Collections,GPT-4.1 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.0065985297755174616,-0.010620337383481289,-0.0028430691264677236,716
Collections,GPT-4.1 Mini,collection_size,Number of Papers,0.017194633576308637,0.013388980140130218,0.020773951912866462,716
Collections,GPT-5.1,journal_impact,Journal Impact Factor,0.0031816077320064844,-0.003770220026348179,0.01114754104018893,716
Collections,GPT-5.1,citation,Citation,-0.010766267705530793,-0.018457038603375036,-0.0031563246198697686,716
Collections,GPT-5.1,empirical_share,Empirical papers,-0.010671879995204862,-0.01641133241698171,-0.004285809898079741,716
Collections,GPT-5.1,recent,Publication Year,-0.006144913562368435,-0.012552138031616212,3.273522392463716e-06,716
Collections,GPT-5.1,biology_share,Biology Journals,0.004073790646262759,-0.0015198918040367378,0.009155598231162713,716
Collections,GPT-5.1,economics_share,Economics Journals,-0.0030850623260378143,-0.008653328607657938,0.0024965235754910355,716
Collections,GPT-5.1,psychology_share,Psychology Journals,0.0013395970458461772,-0.004134110539592266,0.007599218347563633,716
Collections,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.018308275187666766,-0.02432333971775577,-0.011166949813784051,716
Collections,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.007008882991131957,-0.013167987716266929,-0.0016422948845364238,716
Collections,GPT-5.1,collection_size,Number of Papers,0.0036336841662236163,-0.001867257504358223,0.008614575625301421,716
Collections,GPT-5 Mini,journal_impact,Journal Impact Factor,0.003857306395389155,-0.0019262056085864098,0.010628795759386031,716
Collections,GPT-5 Mini,citation,Citation,-0.006447072340372927,-0.013593175650980015,-0.002374802015795896,716
Collections,GPT-5 Mini,empirical_share,Empirical papers,-0.00848242403955656,-0.01637735381049931,-0.004745121538705722,716
Collections,GPT-5 Mini,recent,Publication Year,0.00030518574851722935,-0.004591269248148043,0.0037479102824953653,716
Collections,GPT-5 Mini,biology_share,Biology Journals,0.003581594542972001,0.00022258537964601176,0.00805958719628082,716
Collections,GPT-5 Mini,economics_share,Economics Journals,-0.0004047269128455537,-0.005212996224648242,0.004899014057097321,716
