item_type,model,feature_label,coef,ci_low,ci_high,n
Individual papers,GPT-4.1,Higher journal impact,0.0026416127546008577,0.00021398874782766137,0.005069236761374054,1898
Individual papers,GPT-4.1,Higher citation,0.00024107832113624323,-0.0016069189545350484,0.002089075596807535,1955
Individual papers,GPT-4.1,Empirical vs theory,-0.011306670067314995,-0.015142294514080099,-0.007471045620549892,2011
Individual papers,GPT-4.1,More recent paper,0.0002903944856580228,-0.001480585438512899,0.0020613744098289446,1955
Individual papers,GPT-4.1,Biology journals,0.003829368303171992,-0.0012240782819131026,0.008882814888257087,2011
Individual papers,GPT-4.1,Psychology journals,-0.003955401176064581,-0.00819698728483912,0.00028618493270995797,2011
Individual papers,GPT-4.1,Math/Physics journals,0.007924167538156068,0.0038942711384772257,0.01195406393783491,2011
Individual papers,GPT-4.1,Multidisciplinary journals,-0.001804108708757635,-0.006578481891699912,0.002970264474184642,2011
Individual papers,GPT-4.1 Mini,Higher journal impact,0.0039059081342674635,0.0008563543416986947,0.006955461926836232,1898
Individual papers,GPT-4.1 Mini,Higher citation,-0.0018467659357856955,-0.004162627848390308,0.0004690959768189173,1955
Individual papers,GPT-4.1 Mini,Empirical vs theory,-0.027436393437534835,-0.032080980870967404,-0.02279180600410227,2011
Individual papers,GPT-4.1 Mini,More recent paper,0.0011672446248646856,-0.0010307869458634025,0.0033652761955927737,1955
Individual papers,GPT-4.1 Mini,Biology journals,0.0104176594913607,0.004834525671213489,0.01600079331150791,2011
Individual papers,GPT-4.1 Mini,Psychology journals,0.00012276622216179418,-0.005012434755714147,0.005257967200037735,2011
Individual papers,GPT-4.1 Mini,Math/Physics journals,0.014426173371554165,0.009716158418569723,0.019136188324538606,2011
Individual papers,GPT-4.1 Mini,Multidisciplinary journals,0.0028606421937080366,-0.002944626365661278,0.008665910753077351,2011
Individual papers,GPT-5.1,Higher journal impact,-0.00029741169175337716,-0.0039368368698340615,0.0033420134863273074,1898
Individual papers,GPT-5.1,Higher citation,-0.0028304736199327714,-0.005623767010596166,-3.718022926937599e-05,1955
Individual papers,GPT-5.1,Empirical vs theory,-0.016248259291222013,-0.02213371550575729,-0.010362803076686737,2011
Individual papers,GPT-5.1,More recent paper,-0.00023367453060920885,-0.002953389341012629,0.002486040279794211,1955
Individual papers,GPT-5.1,Biology journals,0.00874773546353106,0.0014500526309492324,0.01604541829611289,2011
