scope,model,metric,term,term_group,term_value,term_label,coefficient,stderr,pvalue,nobs,r2,adj_r2,model_label
model,GPT-4.1 Mini,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0121794141314689,0.0049584809481898,0.0142826522212775,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0091984864524368,0.0055083629451769,0.0953881767429018,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0096124249621701,0.0050499118008076,0.0573914837369834,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0019941530370529,0.0071987754646347,0.7818528737906125,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,log_count,log_count,log_count,log(count),0.0116236481120904,0.0028485813933127,5.0174855274451235e-05,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,log_count,log_count,log_count,log(count),0.0107174298137416,0.0025826370904332,3.741689351132348e-05,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,log_count,log_count,log_count,log(count),0.0041145415307696,0.0028690444913327,0.1519903301208103,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,log_count,log_count,log_count,log(count),0.0086781506278622,0.0026302590766116,0.0010186638307756,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,log_count,log_count,log_count,log(count),-0.0057505678520579,0.0037495000414297,0.1255625040637454,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.bio_evo]",discipline_value,bio_evo,discipline=bio_evo,0.0106837038822595,0.0064155095432987,0.096306912116252,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.bio_evo]",discipline_value,bio_evo,discipline=bio_evo,0.0111368741556104,0.005820855959635,0.0561251536943489,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.bio_evo]",discipline_value,bio_evo,discipline=bio_evo,0.0153470862666067,0.0064663729904964,0.0178984092169264,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.bio_evo]",discipline_value,bio_evo,discipline=bio_evo,0.0079710310285844,0.0059281883924739,0.1791949715956314,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
