feature_key,feature_label,mean_abs_shap,mean_signed_shap
collection_size,Number of Papers,0.014754986054864635,-0.0002263692011073405
empirical_share,Empirical Papers,0.007610281789633818,-0.00014362522650639424
citation,Citation,0.0031489065949658022,-0.00021010412860905667
mathphysics_share,Math/Physics Journals,0.00502800045934175,0.00021792621343273683
recent,Publication Year,0.003522237141009832,-4.269161423996826e-05
psychology_share,Psychology Journals,0.001935630767347037,0.0003262076014134912
journal_impact,Journal Impact Factor,0.003578699842448573,0.00027301353309335837
multidisciplinary_share,Multidisciplinary Journals,0.0015610882189738971,-0.00014266154848698406
biology_share,Biology Journals,0.002325748841331629,-2.6107505598744864e-05
economics_share,Economics Journals,0.0025321020323603003,-2.5588123391087352e-05
