n_design_parameters,n_papers_mentioned,n_papers_varied
0,5,479
1,8,197
2,25,62
3,99,14
4,82,2
5,162,1
6,136,1
7,119,0
8,58,0
9,27,0
10,15,0
11,13,0
12,7,0
