n_design_parameters_reported,n_experiments,percent_experiments,n_experiments_total,n_design_parameters_total
0,15,0.4132231404958678,3630,12
1,20,0.5509641873278237,3630,12
2,80,2.203856749311295,3630,12
3,362,9.97245179063361,3630,12
4,354,9.75206611570248,3630,12
5,617,16.997245179063363,3630,12
6,580,15.977961432506888,3630,12
7,597,16.446280991735538,3630,12
8,406,11.18457300275482,3630,12
9,277,7.630853994490358,3630,12
10,166,4.573002754820936,3630,12
11,115,3.1680440771349865,3630,12
12,41,1.1294765840220387,3630,12
