human_reference,human_corr,no_treatment_corr,delta_human_minus_no_treatment,delta_ci95_low,delta_ci95_high,delta_ci99_low,delta_ci99_high,delta_ci999_low,delta_ci999_high,p_bootstrap_two_sided,significant_95,n_boot
Laypeople WoC,0.6038335627266782,0.5414748692062455,0.06235869352043266,0.0063629100026604156,0.13224252884540405,-0.006584589833043806,0.1648048017066824,-0.02338874620540796,0.21546267920400305,0.02352,True,50000
Experts WoC,0.6055771473111272,0.5414748692062455,0.06410227810488167,-0.015502782674286517,0.16192436239964567,-0.03996972542312109,0.20243148521489132,-0.07490860599580008,0.27507104368886687,0.1324,False,50000
