parameter,label,short_label,bin_order,bin_label,bin_label_display,count,share,percent,n_nonmissing,modal_share,parameter_order
CONFIG_defaultContribProp,Default contribution,Default contrib.,0,Yes,opt out,31,0.012725779967159278,1.2725779967159279,2436,0.9872742200328407,0
CONFIG_defaultContribProp,Default contribution,Default contrib.,1,No,opt in,2405,0.9872742200328407,98.72742200328408,2436,0.9872742200328407,0
CONFIG_showOtherSummaries,Show other summaries,Peer summaries,0,Yes,visible,1802,0.952934955050238,95.2934955050238,1891,0.952934955050238,1
CONFIG_showOtherSummaries,Show other summaries,Peer summaries,1,No,hidden,89,0.04706504494976203,4.706504494976203,1891,0.952934955050238,1
CONFIG_playerCount,Group size,Group size,0,2-6,2-6,3175,0.9110473457675753,91.10473457675752,3485,0.9110473457675753,2
CONFIG_playerCount,Group size,Group size,1,6-11,6-11,220,0.06312769010043041,6.312769010043041,3485,0.9110473457675753,2
CONFIG_playerCount,Group size,Group size,2,11-16,11-16,71,0.020373027259684363,2.0373027259684364,3485,0.9110473457675753,2
CONFIG_playerCount,Group size,Group size,3,16-20,16-20,19,0.0054519368723099,0.5451936872309899,3485,0.9110473457675753,2
CONFIG_chat,Chat,Chat,0,Yes,enabled,168,0.15954415954415954,15.954415954415953,1053,0.8404558404558404,3
CONFIG_chat,Chat,Chat,1,No,disabled,885,0.8404558404558404,84.04558404558404,1053,0.8404558404558404,3
CONFIG_allOrNothing,All-or-nothing,All-or-nothing,0,Yes,all-or-nothing,2585,0.740051531634698,74.0051531634698,3493,0.740051531634698,4
CONFIG_allOrNothing,All-or-nothing,All-or-nothing,1,No,variable,908,0.25994846836530205,25.994846836530204,3493,0.740051531634698,4
CONFIG_showAnyId,Show punishment/reward ID,ID shown,0,Yes,revealed,198,0.29464285714285715,29.464285714285715,672,0.7053571428571429,5
CONFIG_showAnyId,Show punishment/reward ID,ID shown,1,No,hidden,474,0.7053571428571429,70.53571428571429,672,0.7053571428571429,5
CONFIG_rewardExists,Reward exists,Reward exists,0,Yes,enabled,270,0.3520208604954368,35.20208604954368,767,0.6479791395045632,6
CONFIG_rewardExists,Reward exists,Reward exists,1,No,disabled,497,0.6479791395045632,64.79791395045632,767,0.6479791395045632,6
CONFIG_showNRounds,Show number of rounds,Rounds shown,0,Yes,known,332,0.5824561403508772,58.245614035087726,570,0.5824561403508772,7
CONFIG_showNRounds,Show number of rounds,Rounds shown,1,No,unknown,238,0.41754385964912283,41.75438596491228,570,0.5824561403508772,7
CONFIG_punishmentCost,Punishment cost,Punish. cost,0,1,1,827,0.5557795698924731,55.57795698924731,1488,0.5557795698924731,8
CONFIG_punishmentCost,Punishment cost,Punish. cost,1,2,2,60,0.04032258064516129,4.032258064516129,1488,0.5557795698924731,8
CONFIG_punishmentCost,Punishment cost,Punish. cost,2,3,3,8,0.005376344086021506,0.5376344086021506,1488,0.5557795698924731,8
CONFIG_punishmentCost,Punishment cost,Punish. cost,3,4,4,22,0.01478494623655914,1.478494623655914,1488,0.5557795698924731,8
CONFIG_punishmentCost,Punishment cost,Punish. cost,4,Other,Other,571,0.38373655913978494,38.373655913978496,1488,0.5557795698924731,8
CONFIG_punishmentTech,Punishment technology,Punish. tech.,0,1-2,1-2,402,0.3884057971014493,38.84057971014493,1035,0.5362318840579711,9
CONFIG_punishmentTech,Punishment technology,Punish. tech.,1,2-2.5,2-2.5,5,0.004830917874396135,0.4830917874396135,1035,0.5362318840579711,9
CONFIG_punishmentTech,Punishment technology,Punish. tech.,2,2.5-3,2.5-3,555,0.5362318840579711,53.62318840579711,1035,0.5362318840579711,9
CONFIG_punishmentTech,Punishment technology,Punish. tech.,3,3-4,3-4,73,0.07053140096618357,7.053140096618357,1035,0.5362318840579711,9
CONFIG_MPCR,MPCR,MPCR,0,0-0.2,0-0.2,108,0.06463195691202872,6.463195691202872,1671,0.5248354278874925,10
CONFIG_MPCR,MPCR,MPCR,1,0.2-0.4,0.2-0.4,877,0.5248354278874925,52.48354278874925,1671,0.5248354278874925,10
CONFIG_MPCR,MPCR,MPCR,2,0.4-0.6,0.4-0.6,563,0.3369239976062238,33.69239976062238,1671,0.5248354278874925,10
CONFIG_MPCR,MPCR,MPCR,3,0.6-0.8,0.6-0.8,123,0.07360861759425494,7.360861759425494,1671,0.5248354278874925,10
CONFIG_numRounds,Number of rounds,Rounds,0,1-8,1-8,1204,0.38713826366559484,38.71382636655948,3110,0.38713826366559484,11
CONFIG_numRounds,Number of rounds,Rounds,1,8-15,8-15,1139,0.3662379421221865,36.623794212218655,3110,0.38713826366559484,11
CONFIG_numRounds,Number of rounds,Rounds,2,15-22,15-22,495,0.15916398713826366,15.916398713826366,3110,0.38713826366559484,11
CONFIG_numRounds,Number of rounds,Rounds,3,22-30,22-30,272,0.08745980707395498,8.745980707395498,3110,0.38713826366559484,11
