model_a,model_b,n_shared_papers,pearson_r,pearson_p_two_sided,spearman_rho,spearman_p_two_sided,kendall_tau,kendall_p_two_sided
Claude Sonnet 4.6,GPT-4.1,2010,0.2970324100776244,3.170813499907548e-42,0.19511934291045507,1.0721197182623638e-18,0.13210468531133351,6.936350334421153e-19
Claude Sonnet 4.6,Gemini 2.5 Pro,2011,0.3041466882446504,2.628206972388055e-44,0.22767989455378637,4.652246655026358e-25,0.1554727583800132,1.5330851291232019e-25
GPT-4.1,Gemini 2.5 Pro,2010,0.31934682727297625,6.955830137430212e-49,0.22267125188867778,5.307388731705712e-24,0.1527240916798362,1.0883603504772544e-24
