dataset,model,model_display,predictive_model,n_rows,n_groups,cv_r2,cv_pearson_r,cv_spearman_rho,mean_fold_r2,sd_fold_r2,mean_fold_pearson_r,sd_fold_pearson_r,mean_fold_spearman_rho,sd_fold_spearman_rho
individual_papers,Claude Sonnet 4.6,Claude Sonnet 4.6,elastic_net,2011,2011,0.007061095798034045,0.08865209390156605,0.09201131434209979,0.006447601870593189,0.004686046084289277,0.09227763725004987,0.022664804864010346,0.09357792904806328,0.021394358303655044
individual_papers,GPT-4.1,GPT-4.1,elastic_net,2010,2010,0.010918900508791629,0.10552000333125064,0.1425988164156078,0.007731474426284524,0.0118608268703257,0.1254593559831681,0.0376228462675982,0.1514032411758253,0.033024788698962
individual_papers,Gemini 2.5 Pro,Gemini 2.5 Pro,elastic_net,2011,2011,0.030809305182857183,0.17553585500330895,0.15056759104937764,0.03179504407631386,0.031051337262814716,0.18533076703179652,0.08226556302480774,0.16035366629143044,0.0751906353981641
