parameter,label,n_papers_mentioned,percent_papers_mentioned,n_papers_varied,percent_papers_varied,n_papers_total
CONFIG_numRounds,Number of rounds,724,95.76719576719577,77,10.185185185185185,756
CONFIG_playerCount,Group size,751,99.33862433862434,75,9.920634920634921,756
CONFIG_punishmentTech,Punishment technology,427,56.481481481481474,48,6.349206349206349,756
CONFIG_punishmentCost,Punishment cost,460,60.84656084656085,45,5.952380952380952,756
CONFIG_rewardExists,Reward exists,197,26.058201058201057,42,5.555555555555555,756
CONFIG_chat,Chat,230,30.423280423280424,28,3.7037037037037033,756
CONFIG_MPCR,MPCR,390,51.587301587301596,24,3.1746031746031744,756
CONFIG_showAnyId,Show punishment/reward ID,201,26.58730158730159,14,1.8518518518518516,756
CONFIG_allOrNothing,All-or-nothing,728,96.29629629629629,12,1.5873015873015872,756
CONFIG_showOtherSummaries,Show other summaries,407,53.835978835978835,9,1.1904761904761905,756
CONFIG_defaultContribProp,Default contribution,493,65.21164021164022,7,0.9259259259259258,756
CONFIG_showNRounds,Show number of rounds,125,16.534391534391535,1,0.13227513227513227,756
