model_a,model_b,corr_a,corr_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,p_bootstrap_two_sided,significant_95,n_boot
Claude Sonnet 4.6,GPT-4.1,0.664485819221625,0.6145930323334075,0.04989278688821752,-0.06981462969223155,0.218394241707502,0.65416,False,50000
Claude Sonnet 4.6,Gemini 2.5 Pro,0.664485819221625,0.39938199972137367,0.2651038195002513,0.057277358154726066,0.5122645111162603,0.00948,True,50000
GPT-4.1,Gemini 2.5 Pro,0.6145930323334075,0.39938199972137367,0.21521103261203378,-0.08855230810370197,0.5210860012219066,0.15968,False,50000
