CONFIG_configId,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_endowment,CONFIG_multiplier,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentMagnitude,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardMagnitude,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_contributionDuration,CONFIG_outcomeDuration,CONFIG_summaryDuration,CONFIG_basePay,CONFIG_conversionRate,CONFIG_treatmentName,CONFIG_punishmentTech,CONFIG_MPCR,CONFIG_scaledPunishmentCost,CONFIG_MPCR_adjusted,CONFIG_rewardTech,efficiency_p,efficiency_np
0,3,11,False,20,1.5,False,True,0,True,3,9.0,False,3,4.0,True,False,False,45,45,45,1.1,300,0_T,3.0,0.5,0.15,0.5,1.33,0.8333333333333334,0.9227272727272727
1,15,17,True,20,6.0,True,False,1,True,2,2.0,True,2,2.0,False,True,True,45,45,45,1.7,300,1_T,1.0,0.4,0.1,0.43,1.0,0.9027337858220211,0.8544270197705638
2,16,2,False,20,2.0,False,False,1,True,1,2.0,True,1,1.0,True,True,True,45,45,45,0.2,300,2_T,2.0,0.12,0.05,0.12,1.0,0.871875,0.809375
3,10,23,True,20,6.3,True,True,0,True,4,15.0,False,4,4.0,False,False,False,45,45,45,2.3,300,3_T,3.75,0.63,0.2,0.63,1.0,0.7197215598925881,0.8191089640365004
4,8,8,True,20,4.7,False,False,0,True,4,11.0,True,4,3.0,True,True,True,45,45,45,0.8,300,4_T,2.75,0.59,0.2,0.59,0.75,0.6898271276595744,0.7218251329787234
5,18,30,False,20,3.4,True,True,1,True,2,3.0,False,2,2.0,False,False,False,45,45,45,3.0,300,5_T,1.5,0.19,0.1,0.2,1.0,0.9269064869099233,0.8687198537840936
6,13,13,True,20,6.4,False,True,1,True,2,5.0,False,2,3.0,True,False,False,45,45,45,1.3,300,6_T,2.5,0.49,0.1,0.53,1.5,0.7822516025641025,0.779173951048951
7,5,21,False,20,1.8,True,False,0,True,3,11.0,True,3,3.0,False,True,True,45,45,45,2.1,300,7_T,3.67,0.36,0.15,0.36,1.0,0.8925925925925926,0.7605820105820106
8,6,4,True,20,1.5,True,False,0,True,2,8.0,False,2,2.0,True,True,True,45,45,45,0.4,300,8_T,4.0,0.25,0.1,0.3,1.0,0.7347222222222223,0.875
10,20,10,True,20,5.0,True,True,1,True,4,5.0,True,4,5.0,True,False,False,45,45,45,1.0,300,10_T,1.25,0.25,0.2,0.25,1.25,0.75585,0.7852879581151833
11,7,17,False,20,3.8,False,False,0,True,1,3.0,False,1,1.0,False,True,True,45,45,45,1.7,300,11_T,3.0,0.54,0.05,0.54,1.0,0.7652587350729766,0.7167182662538699
14,13,5,False,20,9.0,True,False,1,True,3,5.0,False,3,3.0,True,True,True,45,45,45,0.5,300,14_T,1.67,0.69,0.15,0.69,1.0,0.7162393162393162,0.5486324786324787
16,4,6,False,20,2.2,True,True,0,True,4,9.0,False,4,6.0,False,True,True,45,45,45,0.6,300,16_T,2.25,0.55,0.2,0.55,1.5,1.0,0.8181818181818182
18,17,15,False,20,9.3,True,False,1,True,2,5.0,True,2,1.0,False,False,False,45,45,45,1.5,300,18_T,2.5,0.55,0.1,0.55,0.5,0.6667299177735609,0.7118279569892473
19,9,22,True,20,2.2,False,True,0,True,3,4.0,False,3,3.0,True,True,True,45,45,45,2.2,300,19_T,1.33,0.24,0.15,0.24,1.0,0.8670798898071623,0.7438016528925618
20,7,8,True,20,1.3,True,False,0,True,3,6.0,True,3,2.0,False,False,False,45,45,45,0.8,300,20_T,2.0,0.19,0.15,0.19,0.67,0.9244505494505496,0.8956043956043956
21,19,16,False,20,12.5,False,True,1,True,2,8.0,False,2,2.0,True,True,True,45,45,45,1.6,300,21_T,4.0,0.66,0.1,0.66,1.0,0.8637314487632509,0.9073877551020408
22,12,3,True,20,4.3,True,True,1,True,2,6.0,False,2,3.0,False,True,True,45,45,45,0.3,300,22_T,3.0,0.36,0.1,0.36,1.5,0.520671834625323,0.7648578811369509
23,6,25,False,20,2.7,False,False,0,True,4,5.0,True,4,3.0,True,False,False,45,45,45,2.5,300,23_T,1.25,0.45,0.2,0.45,0.75,0.6109876543209877,0.6865432098765432
24,4,12,True,20,2.7,False,False,0,True,1,2.0,False,1,1.0,False,False,False,45,45,45,1.2,300,24_T,2.0,0.68,0.05,0.68,1.0,0.9263117283950616,0.8028549382716049
25,12,19,False,20,1.3,True,True,1,True,4,11.0,True,4,5.0,True,True,True,45,45,45,1.9,300,25_T,2.75,0.11,0.2,0.11,1.25,0.8674089068825911,0.9659244264507424
26,19,7,True,20,8.2,False,True,1,True,3,11.0,True,3,3.0,False,True,True,45,45,45,0.7,300,26_T,3.67,0.43,0.15,0.46,1.0,0.7271583430120017,0.8109297634329728
27,9,28,False,20,3.3,True,False,0,True,2,5.0,False,2,1.0,True,False,False,45,45,45,2.8,300,27_T,2.5,0.37,0.1,0.37,0.5,0.4796176046176046,0.7080928330928331
29,16,24,True,20,8.3,True,False,1,True,3,9.0,False,3,2.0,True,False,False,45,45,45,2.4,300,29_T,3.0,0.52,0.15,0.52,0.67,0.7508785140562249,0.7476572958500669
30,15,11,False,20,2.5,False,False,1,True,3,11.0,False,3,3.0,False,False,False,45,45,45,1.1,300,30_T,3.67,0.17,0.15,0.17,1.0,0.698625,0.756969696969697
31,2,19,True,20,1.3,True,True,0,True,2,4.0,True,2,3.0,True,True,True,45,45,45,1.9,300,31_T,2.0,0.65,0.1,0.65,1.5,0.7945344129554656,0.9939271255060728
32,2,1,True,20,1.2,False,False,1,True,3,7.0,False,3,4.0,False,True,True,45,45,45,0.1,300,32_T,2.33,0.6,0.15,0.6,1.33,1.0,0.9583333333333334
33,15,24,False,20,5.4,True,True,0,True,2,7.0,True,2,1.0,True,False,False,45,45,45,2.4,300,33_T,3.5,0.36,0.1,0.36,0.5,0.8377829218106996,0.990920781893004
34,16,10,True,20,10.3,False,True,0,True,2,6.0,True,2,2.0,False,False,False,45,45,45,1.0,300,34_T,3.0,0.64,0.1,0.64,1.0,0.929490291262136,0.961356668369954
37,18,20,True,20,10.0,True,False,0,True,1,4.0,False,1,1.0,True,True,True,45,45,45,2.0,300,37_T,4.0,0.56,0.05,0.56,1.0,0.8073055555555556,0.8487205882352942
38,13,8,False,20,3.9,False,False,0,True,2,6.0,False,2,2.0,False,True,True,45,45,45,0.8,300,38_T,3.0,0.3,0.1,0.3,1.0,0.691198224852071,0.7698916204070844
39,5,29,True,20,2.6,True,True,1,True,3,3.0,True,3,2.0,True,False,False,45,45,45,2.9,300,39_T,1.0,0.52,0.15,0.52,0.67,0.9254641909814324,0.7506631299734748
41,12,17,True,20,1.9,False,False,0,True,3,8.0,True,3,3.0,True,True,True,45,45,45,1.7,300,41_T,2.67,0.16,0.15,0.16,1.0,0.7265221878224974,0.8458646616541353
42,19,4,False,20,10.2,True,False,0,True,3,10.0,True,3,4.0,False,True,True,45,45,45,0.4,300,42_T,3.33,0.54,0.15,0.54,1.33,0.7287151702786379,0.7581251678753694
43,7,26,True,20,2.1,False,True,1,True,1,2.0,False,1,1.0,True,False,False,45,45,45,2.6,300,43_T,2.0,0.3,0.05,0.3,1.0,0.881083202511774,0.9803767660910518
44,9,5,True,20,3.2,True,False,1,True,1,1.0,True,1,1.0,False,True,True,45,45,45,0.5,300,44_T,1.0,0.36,0.05,0.36,1.0,0.7524305555555556,0.6951388888888889
45,17,27,False,20,7.2,False,True,0,True,4,12.0,False,4,3.0,True,False,False,45,45,45,2.7,300,45_T,3.0,0.42,0.2,0.42,0.75,0.9650258251448728,0.8559368191721133
46,14,14,True,20,1.5,True,True,0,True,3,12.0,False,3,2.0,False,False,False,45,45,45,1.4,300,46_T,4.0,0.11,0.15,0.11,0.67,0.5933673469387755,0.9241496598639456
47,4,21,False,20,2.7,False,False,1,True,2,4.0,True,2,2.0,True,True,True,45,45,45,2.1,300,47_T,2.0,0.68,0.1,0.68,1.0,0.5083774250440917,0.8291446208112875
48,4,15,True,20,1.6,True,False,1,True,3,10.0,False,3,4.0,True,False,False,45,45,45,1.5,300,48_T,3.33,0.4,0.15,0.4,1.33,0.8078125,0.74375
49,14,22,False,20,7.0,False,True,0,True,2,2.0,True,2,1.0,False,True,True,45,45,45,2.2,300,49_T,1.0,0.5,0.1,0.54,0.5,0.978657487091222,0.9176339285714286
50,17,6,True,20,3.2,True,True,0,True,2,4.0,True,2,2.0,True,True,True,45,45,45,0.6,300,50_T,2.0,0.19,0.1,0.19,1.0,0.908459595959596,0.82515625
51,9,28,False,20,5.2,False,False,1,True,3,12.0,False,3,4.0,False,False,False,45,45,45,2.8,300,51_T,4.0,0.58,0.15,0.58,1.33,0.992445054945055,0.9408195970695972
52,8,4,False,20,5.1,True,True,1,True,3,8.0,True,3,3.0,True,True,True,45,45,45,0.4,300,52_T,2.67,0.64,0.15,0.64,1.0,0.8890931372549019,0.7267156862745098
53,20,25,True,20,2.6,False,False,0,True,2,3.0,False,2,3.0,False,False,False,45,45,45,2.5,300,53_T,1.5,0.13,0.1,0.14,1.5,0.4490821678321678,0.5786677240285488
54,11,9,False,20,4.4,True,False,0,True,1,2.0,False,1,1.0,True,False,False,45,45,45,0.9,300,54_T,2.0,0.4,0.05,0.4,1.0,0.8693755739210283,0.6799816345270889
55,6,16,True,20,2.5,False,True,1,True,4,14.0,True,4,2.0,False,True,True,45,45,45,1.6,300,55_T,3.5,0.42,0.2,0.42,0.5,0.7883720930232558,0.9010416666666666
57,13,29,True,20,8.9,True,False,0,True,3,6.0,True,3,3.0,False,False,False,45,45,45,2.9,300,57_T,2.0,0.68,0.15,0.68,1.0,0.947739397371323,0.8211668644008654
58,18,12,False,20,5.6,False,False,0,True,3,3.0,True,3,4.0,True,False,False,45,45,45,1.2,300,58_T,1.0,0.31,0.15,0.31,1.33,0.618452380952381,0.695684523809524
59,8,20,True,20,3.8,True,True,1,True,2,6.0,False,2,2.0,False,True,True,45,45,45,2.0,300,59_T,3.0,0.48,0.1,0.48,1.0,0.8233552631578948,0.9613319011815252
60,10,12,True,20,5.2,False,False,1,True,2,7.0,True,2,3.0,True,False,False,45,45,45,1.2,300,60_T,3.5,0.52,0.1,0.52,1.5,0.9455411844792376,0.8795673076923077
61,16,18,False,20,3.9,True,True,0,True,3,7.0,False,3,2.0,False,True,True,45,45,45,1.8,300,61_T,2.33,0.24,0.15,0.24,0.67,0.9848646723646725,0.8974358974358975
62,15,2,True,20,9.0,False,True,0,True,4,7.0,False,4,3.0,True,True,True,45,45,45,0.2,300,62_T,1.75,0.6,0.2,0.6,0.75,0.7542592592592593,0.62
63,3,24,False,20,1.2,True,False,1,True,1,3.0,True,1,1.0,False,False,False,45,45,45,2.4,300,63_T,3.0,0.4,0.05,0.4,1.0,0.8425925925925926,0.9953703703703703
64,3,8,True,20,2.1,False,False,0,True,2,7.0,False,2,1.0,False,False,False,45,45,45,0.8,300,64_T,3.5,0.7,0.1,0.7,0.5,0.503968253968254,0.7113095238095238
66,16,14,True,20,7.3,False,True,1,True,4,6.0,True,4,5.0,False,True,True,45,45,45,1.4,300,66_T,1.5,0.46,0.2,0.46,1.25,0.9864542563600784,0.9899400684931506
67,10,20,False,20,3.4,True,False,0,True,2,5.0,False,2,2.0,True,False,False,45,45,45,2.0,300,67_T,2.5,0.34,0.1,0.34,1.0,0.6456932773109244,0.9352941176470588
68,8,10,False,20,2.3,False,True,0,True,1,4.0,True,1,1.0,False,True,True,45,45,45,1.0,300,68_T,4.0,0.29,0.05,0.29,1.0,0.820144927536232,0.8288043478260869
69,18,18,True,20,9.1,True,False,1,True,4,8.0,False,4,4.0,True,False,False,45,45,45,1.8,300,69_T,2.0,0.51,0.2,0.51,1.0,0.5384018155757286,0.7408720311946119
70,13,1,False,20,2.4,False,False,1,True,3,4.0,False,3,2.0,False,False,False,45,45,45,0.1,300,70_T,1.33,0.18,0.15,0.18,0.67,0.7628205128205128,0.8669871794871795
71,5,23,True,20,3.1,True,True,0,True,2,6.0,True,2,2.0,True,True,True,45,45,45,2.3,300,71_T,3.0,0.62,0.1,0.62,1.0,0.9712482468443198,0.8892005610098177
72,5,14,False,20,2.7,True,True,0,True,3,8.0,False,3,3.0,False,True,True,45,45,45,1.4,300,72_T,2.67,0.54,0.15,0.54,1.0,0.8727513227513227,0.8425925925925926
73,11,21,True,20,3.3,False,False,1,True,2,3.0,True,2,1.0,True,False,False,45,45,45,2.1,300,73_T,1.5,0.3,0.1,0.3,0.5,0.7611203780928552,0.6468581923127378
74,20,5,False,20,11.2,True,False,1,True,1,2.0,True,1,1.0,False,False,False,45,45,45,0.5,300,74_T,2.0,0.56,0.05,0.56,1.0,0.8803571428571428,0.8526785714285714
75,7,27,True,20,1.7,False,True,0,True,3,11.0,False,3,4.0,True,True,True,45,45,45,2.7,300,75_T,3.67,0.24,0.15,0.24,1.33,0.9812523247781497,0.873015873015873
76,10,4,True,20,1.7,True,False,0,True,4,12.0,True,4,3.0,False,False,False,45,45,45,0.4,300,76_T,3.0,0.17,0.2,0.19,0.75,0.7271241830065359,0.75
77,17,26,False,20,10.7,False,True,1,True,1,1.0,False,1,1.0,True,True,True,45,45,45,2.6,300,77_T,1.0,0.63,0.05,0.67,1.0,0.8691251797268152,0.9641920751046644
78,14,10,True,20,5.3,True,True,1,True,2,4.0,False,2,2.0,False,True,True,45,45,45,1.0,300,78_T,2.0,0.38,0.1,0.38,1.0,0.8429919137466307,0.7913877054169203
79,4,17,False,20,1.9,False,False,0,True,3,11.0,True,3,2.0,True,False,False,45,45,45,1.7,300,79_T,3.67,0.48,0.15,0.48,0.67,0.7472910216718266,0.9260835913312694
80,4,9,True,20,1.2,True,False,0,True,2,2.0,False,2,1.0,True,True,True,45,45,45,0.9,300,80_T,1.0,0.3,0.1,0.3,0.5,0.7685185185185185,0.9305555555555556
81,14,16,False,20,8.5,False,True,1,True,3,9.0,True,3,3.0,False,False,False,45,45,45,1.6,300,81_T,3.0,0.61,0.15,0.65,1.0,0.9789309954751132,0.9046481092436974
82,17,3,True,20,3.9,True,True,1,True,3,11.0,True,3,4.0,True,False,False,45,45,45,0.3,300,82_T,3.67,0.23,0.15,0.23,1.33,0.8200100553041729,0.7285067873303167
83,9,25,False,20,4.9,False,False,0,True,2,4.0,False,2,2.0,False,True,True,45,45,45,2.5,300,83_T,2.0,0.54,0.1,0.54,1.0,0.5802013112937482,0.5892063492063491
84,7,6,False,20,3.2,True,True,0,True,2,3.0,True,2,3.0,True,False,False,45,45,45,0.6,300,84_T,1.5,0.46,0.1,0.46,1.5,0.9192708333333334,0.9226190476190476
85,19,28,True,20,6.1,False,False,1,True,3,9.0,False,3,3.0,False,True,True,45,45,45,2.8,300,85_T,3.0,0.32,0.15,0.32,1.0,0.6811136447676569,0.7059506905899058
87,6,23,True,20,1.2,False,True,0,True,1,2.0,True,1,1.0,False,False,False,45,45,45,2.3,300,87_T,2.0,0.2,0.05,0.2,1.0,0.8934178743961353,0.9290458937198068
88,5,3,False,20,2.1,False,True,0,True,3,6.0,False,3,3.0,True,False,False,45,45,45,0.3,300,88_T,2.0,0.42,0.15,0.42,1.0,0.9365079365079364,0.7634920634920634
90,19,12,False,20,1.9,False,False,1,True,2,6.0,True,2,2.0,True,True,True,45,45,45,1.2,300,90_T,3.0,0.1,0.1,0.11,1.0,0.6631335282651072,0.7183748845798708
91,8,19,True,20,5.2,True,True,0,True,3,4.0,False,3,4.0,False,False,False,45,45,45,1.9,300,91_T,1.33,0.65,0.15,0.65,1.33,1.0,0.7449392712550608
92,11,12,True,20,6.2,False,False,0,True,3,7.0,True,3,2.0,True,True,True,45,45,45,1.2,300,92_T,2.33,0.56,0.15,0.56,0.67,0.7169477028347996,0.614986559139785
93,16,20,False,20,3.5,True,True,1,True,2,7.0,False,2,3.0,False,False,False,45,45,45,2.0,300,93_T,3.5,0.22,0.1,0.25,1.5,0.8647959183673469,0.8989285714285714
94,14,7,True,20,6.6,False,True,1,True,1,3.0,False,1,1.0,True,False,False,45,45,45,0.7,300,94_T,3.0,0.47,0.05,0.47,1.0,0.7120439084724799,0.9189857761286332
