model,estimator_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman
Claude Sonnet 4.6,extra_trees,133,133,0.17446021398454137,0.44758266085838744,0.1440633048833771,0.48189010989010983,0.3309892256248263,0.07072338750657801
GPT-4.1,extra_trees,133,133,0.2101844260268032,0.4147733648911967,0.21088300457040407,0.4210940170940171,0.10586269814805735,0.1447207626263813
GPT-5.1,extra_trees,133,133,0.13445451529621055,0.310392670958264,0.06442565992691004,0.30653968253968256,0.2906393739940956,0.1262745217271323
Gemini 2.5 Pro,extra_trees,133,133,0.05448122752255846,0.2646983809591822,-0.01087568861332371,0.2893186813186813,0.20188454274627862,0.219142030010559
