dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman,scope_order,estimator_label,dataset_label,se_fold_r2,se_fold_spearman
individual_papers,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,908,908,0.0145393181565708,0.1532720294864578,0.0128244136081544,0.1639047599141793,0.0192912521424939,0.0632940521480315,0,Ridge,Individual papers,0.008627310232340963,0.028305960634883
metadata_filter_collections,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,133,133,0.1438381641206975,0.4132583834076371,0.1148978898010018,0.4385934065934066,0.2142443296795884,0.1364936961387619,0,Ridge,Collections,0.09581297699148707,0.061041836613294424
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,908,908,0.030413072456028,0.1952332545107014,0.0293734269983084,0.1948584646039586,0.0197341212878277,0.0341164348119645,1,Ridge,Individual papers,0.008825367335161685,0.015257333477898573
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,ridge,133,133,0.0539523223073569,0.2730792381224431,0.0275264470415218,0.3015091575091574,0.0777974932242903,0.1227274997961542,1,Ridge,Collections,0.03479209666571848,0.05488540645055847
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,907,907,0.0185241611813997,0.1728078083877902,0.0080488423830178,0.1952934300264434,0.0599782981249127,0.1051771203686159,2,Ridge,Individual papers,0.026823110356410593,0.04703663816438058
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,ridge,133,133,0.2435467377397955,0.4860642107303536,0.2406960133561576,0.4682051282051281,0.127967806285601,0.1532909103606671,2,Ridge,Collections,0.05722894275722574,0.0685537791798557
individual_papers,within_model,Gemini 2.5 Pro,correlation,Correlation,ridge,908,908,0.0806119471600872,0.3071062437830599,0.0760263247990322,0.30698641592593,0.0278555871788809,0.0329535818230178,3,Ridge,Individual papers,0.012457397297029858,0.014737289811673849
metadata_filter_collections,within_model,Gemini 2.5 Pro,correlation,Correlation,ridge,133,133,-0.0145471003024342,0.1143530467960947,-0.0181821622990877,0.1793553113553113,0.07866128675046,0.1425843649758831,3,Ridge,Collections,0.03517839687432642,0.06376566652294295
