feature_key,feature_label,shap_value,feature_value_raw,feature_value_norm,y_offset
mathphysics_share,Math/Physics Journals,0.011777470495749386,0.04911032028469751,0.04911032028469751,0.2447368421052632
mathphysics_share,Math/Physics Journals,0.003022838765549466,0.08620689655172414,0.08620689655172414,0.10333333333333333
mathphysics_share,Math/Physics Journals,0.006120898484100679,0.0,0.0,-0.20666666666666667
mathphysics_share,Math/Physics Journals,0.0016335602848686947,0.09248554913294797,0.09248554913294797,0.10333333333333333
mathphysics_share,Math/Physics Journals,-0.02646522610866158,1.0,1.0,0.0
mathphysics_share,Math/Physics Journals,0.006691874954713762,0.02040816326530612,0.02040816326530612,-0.02583333333333332
mathphysics_share,Math/Physics Journals,0.008414866152504403,0.0,0.0,-0.11758620689655172
mathphysics_share,Math/Physics Journals,-0.002158514731679193,0.14788732394366197,0.14788732394366197,-0.31
mathphysics_share,Math/Physics Journals,0.008573734503504637,0.05343511450381679,0.05343511450381679,-0.09620689655172415
mathphysics_share,Math/Physics Journals,0.007292953772560123,0.044444444444444446,0.044444444444444446,0.15499999999999997
mathphysics_share,Math/Physics Journals,0.00824424432826749,0.021739130434782608,0.021739130434782608,-0.22448275862068967
mathphysics_share,Math/Physics Journals,-0.025654435949269812,0.6153846153846154,0.6153846153846154,0.31
mathphysics_share,Math/Physics Journals,0.004911333609384093,0.0,0.0,-0.14466666666666667
mathphysics_share,Math/Physics Journals,0.009228688729205781,0.09090909090909091,0.09090909090909091,0.20310344827586208
mathphysics_share,Math/Physics Journals,0.0038944728106316893,0.09090909090909091,0.09090909090909091,0.31
mathphysics_share,Math/Physics Journals,-0.0005274533958193485,0.09004739336492891,0.09004739336492891,0.31
mathphysics_share,Math/Physics Journals,0.012383634863764946,0.066006600660066,0.066006600660066,0.0
mathphysics_share,Math/Physics Journals,0.010175528491424935,0.02702702702702703,0.02702702702702703,-0.31
mathphysics_share,Math/Physics Journals,0.010318649230862736,0.04861111111111111,0.04861111111111111,-0.24473684210526314
mathphysics_share,Math/Physics Journals,-0.03096374013049706,1.0,1.0,-0.31
mathphysics_share,Math/Physics Journals,0.0047152977539878255,0.0,0.0,-0.186
mathphysics_share,Math/Physics Journals,0.00732680793732125,0.0,0.0,0.18083333333333335
mathphysics_share,Math/Physics Journals,0.008974573849490412,0.09174311926605505,0.09174311926605505,0.11758620689655169
mathphysics_share,Math/Physics Journals,0.010584023336378439,0.05309734513274336,0.05309734513274336,-0.08157894736842106
mathphysics_share,Math/Physics Journals,0.010363755388565881,0.04878048780487805,0.04878048780487805,-0.1794736842105263
mathphysics_share,Math/Physics Journals,0.01027092009610038,0.0,0.0,-0.2773684210526316
mathphysics_share,Math/Physics Journals,-0.03524683145980114,0.6153846153846154,0.6153846153846154,-0.31
mathphysics_share,Math/Physics Journals,0.0023615988249759403,0.08823529411764706,0.08823529411764706,-0.31
mathphysics_share,Math/Physics Journals,0.008146939533579079,0.022222222222222223,0.022222222222222223,-0.2672413793103448
mathphysics_share,Math/Physics Journals,0.011661945857162305,0.08108108108108109,0.08108108108108109,0.21210526315789474
mathphysics_share,Math/Physics Journals,0.0039838695095672,0.08823529411764706,0.08823529411764706,-0.31
mathphysics_share,Math/Physics Journals,0.009684620349902797,0.03870967741935484,0.03870967741935484,0.28862068965517235
mathphysics_share,Math/Physics Journals,0.007725926520957082,0.03125,0.03125,0.25833333333333336
mathphysics_share,Math/Physics Journals,0.006248440992408568,0.03333333333333333,0.03333333333333333,-0.18083333333333335
mathphysics_share,Math/Physics Journals,-0.0603951067371598,1.0,1.0,0.0
mathphysics_share,Math/Physics Journals,0.00693323228874147,0.0,0.0,0.051666666666666694
mathphysics_share,Math/Physics Journals,0.007198845333486068,0.0,0.0,0.12916666666666665
mathphysics_share,Math/Physics Journals,0.014266967043946803,0.05511811023622047,0.05511811023622047,0.31
mathphysics_share,Math/Physics Journals,0.008955091819880946,0.04371584699453552,0.04371584699453552,0.07482758620689656
mathphysics_share,Math/Physics Journals,0.005348368169258591,0.0,0.0,0.10333333333333333
mathphysics_share,Math/Physics Journals,0.011967964536362565,0.04,0.04,0.27736842105263154
mathphysics_share,Math/Physics Journals,-0.032586698638158294,0.5,0.5,0.0
mathphysics_share,Math/Physics Journals,0.0067771463453595625,0.041666666666666664,0.041666666666666664,0.0
mathphysics_share,Math/Physics Journals,0.01075504828722717,0.031446540880503145,0.031446540880503145,-0.04894736842105263
mathphysics_share,Math/Physics Journals,0.00876374189711397,0.04597701149425287,0.04597701149425287,0.032068965517241366
mathphysics_share,Math/Physics Journals,0.008353261099078019,0.0625,0.0625,-0.1603448275862069
mathphysics_share,Math/Physics Journals,0.0060617258895010245,0.018469656992084433,0.018469656992084433,-0.31
mathphysics_share,Math/Physics Journals,0.00806580641245689,0.023255813953488372,0.023255813953488372,-0.31
mathphysics_share,Math/Physics Journals,0.004466754465385663,0.016,0.016,-0.22733333333333333
mathphysics_share,Math/Physics Journals,-0.02643189752192699,1.0,1.0,0.15499999999999997
mathphysics_share,Math/Physics Journals,0.00562610576452879,0.0,0.0,0.22733333333333333
mathphysics_share,Math/Physics Journals,0.00861915108423179,0.047244094488188976,0.047244094488188976,-0.032068965517241366
mathphysics_share,Math/Physics Journals,0.006632804083870116,0.02197802197802198,0.02197802197802198,-0.07750000000000001
mathphysics_share,Math/Physics Journals,0.0010692398931430507,0.0,0.0,-0.31
mathphysics_share,Math/Physics Journals,0.006078069255503235,0.03125,0.03125,-0.2841666666666667
mathphysics_share,Math/Physics Journals,0.005946123217391116,0.0,0.0,0.31
mathphysics_share,Math/Physics Journals,0.005508207887856507,0.01694915254237288,0.01694915254237288,0.186
mathphysics_share,Math/Physics Journals,0.008972102822746695,0.02608695652173913,0.02608695652173913,0.0962068965517241
mathphysics_share,Math/Physics Journals,0.002934533575731735,0.0,0.0,0.0
mathphysics_share,Math/Physics Journals,0.011070005555272497,0.022727272727272728,0.022727272727272728,0.04894736842105263
mathphysics_share,Math/Physics Journals,0.01121848171913918,0.051601423487544484,0.051601423487544484,0.17947368421052634
mathphysics_share,Math/Physics Journals,-0.03157966488897879,1.0,1.0,0.31
mathphysics_share,Math/Physics Journals,0.008369321077496415,0.0038022813688212928,0.0038022813688212928,-0.13896551724137932
mathphysics_share,Math/Physics Journals,0.006910857670274257,0.0,0.0,0.02583333333333332
mathphysics_share,Math/Physics Journals,0.009662470127589055,0.08712871287128712,0.08712871287128712,0.2672413793103448
mathphysics_share,Math/Physics Journals,0.008705543412630636,0.03857142857142857,0.03857142857142857,0.01068965517241377
mathphysics_share,Math/Physics Journals,0.008266817616455254,0.0,0.0,-0.20310344827586208
mathphysics_share,Math/Physics Journals,0.009122941062996293,0.0196078431372549,0.0196078431372549,0.18172413793103448
mathphysics_share,Math/Physics Journals,-0.026910086205047187,1.0,1.0,-0.31
mathphysics_share,Math/Physics Journals,0.008615604879973293,0.0,0.0,-0.07482758620689656
mathphysics_share,Math/Physics Journals,0.008158914690709201,0.0,0.0,-0.24586206896551724
mathphysics_share,Math/Physics Journals,0.010983166246943473,0.05138339920948617,0.05138339920948617,0.016315789473684228
mathphysics_share,Math/Physics Journals,0.005202508660187208,0.02,0.02,0.062
mathphysics_share,Math/Physics Journals,0.009566692837109557,0.023923444976076555,0.023923444976076555,0.24586206896551727
mathphysics_share,Math/Physics Journals,0.010360275601087982,0.05405405405405406,0.05405405405405406,-0.21210526315789474
mathphysics_share,Math/Physics Journals,0.008330057617603706,0.06993006993006994,0.06993006993006994,-0.18172413793103448
mathphysics_share,Math/Physics Journals,0.008084048632739533,0.029197080291970802,0.029197080291970802,-0.2886206896551724
mathphysics_share,Math/Physics Journals,0.011181488530433697,0.038461538461538464,0.038461538461538464,0.14684210526315788
mathphysics_share,Math/Physics Journals,0.004232403834059609,0.0,0.0,-0.26866666666666666
mathphysics_share,Math/Physics Journals,-0.0360592344076845,1.0,1.0,0.31
mathphysics_share,Math/Physics Journals,-0.014979482594828751,0.3333333333333333,0.3333333333333333,0.0
mathphysics_share,Math/Physics Journals,0.0049829779369101965,0.0,0.0,-0.062
mathphysics_share,Math/Physics Journals,0.007583674252109014,0.028368794326241134,0.028368794326241134,0.2066666666666666
mathphysics_share,Math/Physics Journals,0.001469003081060326,0.0,0.0,-0.10333333333333333
mathphysics_share,Math/Physics Journals,0.005110856838441041,0.0,0.0,-0.020666666666666667
mathphysics_share,Math/Physics Journals,0.009507275506074978,0.049586776859504134,0.049586776859504134,0.22448275862068962
mathphysics_share,Math/Physics Journals,0.00610521125952209,0.06,0.06,-0.23249999999999998
mathphysics_share,Math/Physics Journals,0.012337549004199711,0.019867549668874173,0.019867549668874173,-0.155
mathphysics_share,Math/Physics Journals,0.0089833681857315,0.1111111111111111,0.1111111111111111,0.1389655172413793
mathphysics_share,Math/Physics Journals,0.00902575237167306,0.0,0.0,0.16034482758620688
mathphysics_share,Math/Physics Journals,-0.0267664429323567,1.0,1.0,-0.155
mathphysics_share,Math/Physics Journals,0.006690348393956422,0.0,0.0,-0.051666666666666694
mathphysics_share,Math/Physics Journals,0.011095979769464798,0.0,0.0,0.08157894736842103
mathphysics_share,Math/Physics Journals,0.010861100554982083,0.04878048780487805,0.04878048780487805,-0.016315789473684228
mathphysics_share,Math/Physics Journals,0.0123339139356278,0.0,0.0,-0.31
mathphysics_share,Math/Physics Journals,0.006259656598900372,0.0,0.0,-0.155
mathphysics_share,Math/Physics Journals,0.007031604766312755,0.029411764705882353,0.029411764705882353,0.07750000000000001
mathphysics_share,Math/Physics Journals,-0.030533724146111135,0.5625,0.5625,0.31
mathphysics_share,Math/Physics Journals,-0.028671712437969767,0.7222222222222222,0.7222222222222222,-0.31
mathphysics_share,Math/Physics Journals,-0.03648047420989451,1.0,1.0,-0.31
mathphysics_share,Math/Physics Journals,-0.03434834294737339,0.675,0.675,0.31
mathphysics_share,Math/Physics Journals,-0.010542319338678094,0.375,0.375,0.0
mathphysics_share,Math/Physics Journals,-0.04427089360781043,0.5384615384615384,0.5384615384615384,0.0
mathphysics_share,Math/Physics Journals,-0.03260576843073029,0.8,0.8,-0.31
mathphysics_share,Math/Physics Journals,-0.02463044289605307,0.5294117647058824,0.5294117647058824,0.0
mathphysics_share,Math/Physics Journals,0.0049357231770982,0.02694610778443114,0.02694610778443114,-0.10333333333333333
mathphysics_share,Math/Physics Journals,0.008618821256063756,0.05714285714285714,0.05714285714285714,-0.05344827586206896
mathphysics_share,Math/Physics Journals,0.006271245981198607,0.03546099290780142,0.03546099290780142,-0.12916666666666665
mathphysics_share,Math/Physics Journals,-0.03081035505482835,1.0,1.0,0.0
mathphysics_share,Math/Physics Journals,0.003592257586032589,0.0,0.0,0.2066666666666666
mathphysics_share,Math/Physics Journals,0.002562527715664935,0.0,0.0,-0.10333333333333333
mathphysics_share,Math/Physics Journals,0.01056253807197791,0.05737704918032787,0.05737704918032787,-0.11421052631578948
mathphysics_share,Math/Physics Journals,0.010105744693357281,0.031088082901554404,0.031088082901554404,0.31
mathphysics_share,Math/Physics Journals,0.011126937500909347,0.0,0.0,0.11421052631578948
mathphysics_share,Math/Physics Journals,0.007784174749862249,0.0457516339869281,0.0457516339869281,0.2841666666666666
mathphysics_share,Math/Physics Journals,-0.05153107212643824,1.0,1.0,0.0
mathphysics_share,Math/Physics Journals,0.008632011512395692,0.0,0.0,-0.010689655172413826
