dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman
individual_papers,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,908,908,0.014539318156570835,0.15327202948645788,0.01282441360815445,0.16390475991417935,0.019291252142493977,0.06329405214803156
individual_papers,within_model,Claude Sonnet 4.6,delta_correlation,Correlation gain,ridge,908,908,0.014539318156570724,0.15327202948645788,0.012824413608154317,0.16390475991417935,0.01929125214249366,0.06329405214803156
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,907,907,0.018524161181399768,0.17280780838779022,0.00804884238301784,0.19529343002644342,0.05997829812491275,0.10517712036861593
individual_papers,within_model,GPT-4.1,delta_correlation,Correlation gain,ridge,907,907,0.018524161181399434,0.17280780838779022,0.008048842383017618,0.19529343002644342,0.05997829812491299,0.10517712036861593
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,908,908,0.03041307245602809,0.1952332545107014,0.029373426998308493,0.19485846460395867,0.019734121287827765,0.03411643481196452
individual_papers,within_model,GPT-5.1,delta_correlation,Correlation gain,ridge,908,908,0.030413072456027646,0.1952332545107014,0.02937342699830825,0.19485846460395867,0.01973412128782826,0.03411643481196452
individual_papers,within_model,Gemini 2.5 Pro,correlation,Correlation,ridge,908,908,0.08061194716008724,0.30710624378305995,0.07602632479903224,0.30698641592593,0.02785558717888094,0.032953581823017865
individual_papers,within_model,Gemini 2.5 Pro,delta_correlation,Correlation gain,ridge,908,908,0.08061194716008746,0.30710624378305995,0.07602632479903224,0.30698641592593,0.027855587178880863,0.032953581823017865
metadata_filter_collections,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,133,133,0.1438381641206975,0.4132583834076371,0.11489788980100182,0.4385934065934066,0.21424432967958848,0.13649369613876192
metadata_filter_collections,within_model,Claude Sonnet 4.6,delta_correlation,Correlation gain,ridge,133,133,0.14383816412069728,0.4132583834076371,0.11489788980100184,0.4385934065934066,0.21424432967958795,0.13649369613876192
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,ridge,133,133,0.24354673773979552,0.48606421073035366,0.2406960133561576,0.46820512820512816,0.127967806285601,0.15329091036066717
metadata_filter_collections,within_model,GPT-4.1,delta_correlation,Correlation gain,ridge,133,133,0.24354673773979574,0.48606421073035366,0.24069601335615784,0.46820512820512816,0.12796780628560028,0.15329091036066717
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,ridge,133,133,0.053952322307356915,0.2730792381224431,0.02752644704152183,0.30150915750915747,0.07779749322429032,0.1227274997961542
metadata_filter_collections,within_model,GPT-5.1,delta_correlation,Correlation gain,ridge,133,133,0.05395232230735669,0.2730792381224431,0.027526447041521497,0.30150915750915747,0.07779749322429035,0.1227274997961542
metadata_filter_collections,within_model,Gemini 2.5 Pro,correlation,Correlation,dummy_mean,133,133,-0.003163896890139295,-0.046217116665408474,-0.018315748861523363,,0.02660114011176227,0.0
metadata_filter_collections,within_model,Gemini 2.5 Pro,delta_correlation,Correlation gain,dummy_mean,133,133,-0.003163896890139517,-0.046217116665408474,-0.01831574886152354,,0.02660114011176236,0.0
