parameter,label,n_papers_varied,n_papers_total,percent_papers_varied,paper_ids
CONFIG_playerCount,Group size,18,154,11.688311688311687,10.1002_pchj.259;10.1007_s11031-014-9395-4;10.1007_s11238-022-09897-6;10.1007_s11558-025-09594-3;10.1007_s12110-009-9072-6;10.1016_j.actpsy.2024.104608;10.1016_j.evolhumbehav.2015.12.003;10.1016_j.evolhumbehav.2016.02.001;10.1016_j.jebo.2017.10.009;10.1016_j.jebo.2023.01.012;10.1016_j.jecp.2022.105376;10.1016_j.joep.2018.09.006;10.1016_j.jpubeco.2016.09.008;10.1016_s0167-2681(98)00121-8;10.1063_5.0147226;10.1257_mic.3.4.77;10.1371_journal.pone.0326564;10.3389_fpsyg.2022.794953
CONFIG_numRounds,Number of rounds,14,154,9.090909090909092,10.1007_s00199-018-1146-4;10.1007_s11031-014-9395-4;10.1007_s11948-014-9575-3;10.1016_j.euroecorev.2018.04.003;10.1016_j.evolhumbehav.2022.10.002;10.1016_j.jesp.2019.103823;10.1016_j.jpubeco.2015.03.012;10.1016_s0167-2681(02)00098-7;10.1017_s1355770x12000381;10.1038_s41467-020-14712-3;10.1098_rspb.2012.0063;10.1098_rstb.2020.0304;10.1111_eth.12223;10.2307_2667052
CONFIG_rewardExists,Reward exists,9,154,5.844155844155844,10.1002_pchj.259;10.1016_j.irle.2014.03.001;10.1016_j.jpubeco.2015.03.012;10.1037_a0011381;10.1037_npe0000011;10.1080_0013791x.2011.650839;10.1093_pnasnexus_pgad091;10.1371_journal.pone.0018050;10.1628_093245616x14500948554072
CONFIG_punishmentTech,Punishment technology,8,154,5.194805194805195,10.1002_bdm.1976;10.1002_bdm.2208;10.1016_j.jebo.2023.04.028;10.1016_j.joep.2013.07.002;10.1016_s0167-2681(02)00098-7;10.1080_0013791x.2011.650839;10.1126_science.1178883;10.1257_aer.102.7.3317
CONFIG_chat,Chat,6,154,3.896103896103896,10.1007_s00199-018-1146-4;10.1016_j.geb.2023.08.017;10.1016_s0167-2681(98)00121-8;10.1037_npe0000011;10.1371_journal.pone.0269523;10.3389_fnbeh.2016.00053
CONFIG_punishmentCost,Punishment cost,6,154,3.896103896103896,10.1007_s11127-016-0319-6;10.1016_j.jebo.2023.04.028;10.1037_npe0000011;10.1037_xge0001004;10.1093_jleo_ewy026;10.2307_2667052
CONFIG_allOrNothing,All-or-nothing,4,154,2.5974025974025974,10.1016_j.jebo.2023.01.012;10.1016_j.jebo.2023.04.028;10.1016_s0167-2681(98)00121-8;10.2307_2667052
CONFIG_MPCR,MPCR,2,154,1.2987012987012987,10.1016_j.geb.2025.01.011;10.1016_j.socec.2015.03.007
CONFIG_rewardTech,Reward technology,2,154,1.2987012987012987,10.1016_s0167-2681(02)00098-7;10.1080_0013791x.2011.650839
CONFIG_showOtherSummaries,Show other summaries,2,154,1.2987012987012987,10.1007_s11127-021-00925-7;10.1016_j.jebo.2025.107207
CONFIG_defaultContribProp,Default contribution,1,154,0.6493506493506493,10.1016_j.jpubeco.2015.03.012
CONFIG_rewardCost,Reward cost,1,154,0.6493506493506493,10.1037_npe0000011
CONFIG_showNRounds,Show number of rounds,1,154,0.6493506493506493,10.1098_rstb.2020.0304
CONFIG_showAnyId,Show punishment/reward ID,1,154,0.6493506493506493,10.1016_j.ejpoleco.2022.102354
