custom_id,n_lab_rows,n_varied_params
10.1037_npe0000011,3,4
10.1016_j.jebo.2023.04.028,5,3
10.1016_j.jpubeco.2015.03.012,10,3
10.1016_s0167-2681(02)00098-7,10,3
10.1016_s0167-2681(98)00121-8,8,3
10.1080_0013791x.2011.650839,8,3
10.2307_2667052,7,3
10.1002_pchj.259,4,2
10.1007_s00199-018-1146-4,6,2
10.1007_s11031-014-9395-4,5,2
10.1016_j.jebo.2023.01.012,12,2
10.1098_rstb.2020.0304,2,2
10.1002_bdm.1976,10,1
10.1002_bdm.2208,2,1
10.1007_s11127-016-0319-6,8,1
10.1007_s11127-021-00925-7,6,1
10.1007_s11238-022-09897-6,4,1
10.1007_s11558-025-09594-3,3,1
10.1007_s11948-014-9575-3,3,1
10.1007_s12110-009-9072-6,3,1
10.1016_j.actpsy.2024.104608,4,1
10.1016_j.ejpoleco.2022.102354,8,1
10.1016_j.euroecorev.2018.04.003,4,1
10.1016_j.evolhumbehav.2015.12.003,5,1
10.1016_j.evolhumbehav.2016.02.001,6,1
10.1016_j.evolhumbehav.2022.10.002,6,1
10.1016_j.geb.2023.08.017,5,1
10.1016_j.geb.2025.01.011,10,1
10.1016_j.irle.2014.03.001,6,1
10.1016_j.jebo.2017.10.009,4,1
10.1016_j.jebo.2025.107207,6,1
10.1016_j.jecp.2022.105376,12,1
10.1016_j.jesp.2019.103823,8,1
10.1016_j.joep.2013.07.002,4,1
10.1016_j.joep.2018.09.006,4,1
10.1016_j.jpubeco.2016.09.008,9,1
10.1016_j.socec.2015.03.007,5,1
10.1017_s1355770x12000381,8,1
10.1037_a0011381,7,1
10.1037_xge0001004,7,1
10.1038_s41467-020-14712-3,8,1
10.1063_5.0147226,11,1
10.1093_jleo_ewy026,8,1
10.1093_pnasnexus_pgad091,2,1
10.1098_rspb.2012.0063,6,1
10.1111_eth.12223,16,1
10.1126_science.1178883,2,1
10.1257_aer.102.7.3317,6,1
10.1257_mic.3.4.77,6,1
10.1371_journal.pone.0018050,3,1
10.1371_journal.pone.0269523,4,1
10.1371_journal.pone.0326564,4,1
10.1628_093245616x14500948554072,6,1
10.3389_fnbeh.2016.00053,4,1
10.3389_fpsyg.2022.794953,8,1
10.1002_ejsp.793,2,0
10.1002_hbm.21298,1,0
10.1007_s00265-014-1741-8,4,0
10.1007_s00355-017-1081-5,4,0
10.1007_s00355-021-01363-6,2,0
10.1007_s10551-011-0795-z,6,0
10.1007_s10683-011-9272-x,1,0
10.1007_s10683-013-9360-1,2,0
10.1007_s11238-023-09929-9,7,0
10.1007_s12110-003-1007-z,4,0
10.1016_j.amc.2020.125063,1,0
10.1016_j.chaos.2021.111183,3,0
10.1016_j.chaos.2022.112413,5,0
10.1016_j.econlet.2007.09.048,4,0
10.1016_j.econlet.2017.05.022,2,0
10.1016_j.ejpoleco.2022.102222,2,0
10.1016_j.euroecorev.2010.04.003,4,0
10.1016_j.euroecorev.2023.104659,4,0
10.1016_j.geb.2015.10.001,5,0
10.1016_j.geb.2019.02.006,8,0
10.1016_j.geb.2021.11.012,3,0
10.1016_j.geb.2023.02.005,6,0
10.1016_j.irle.2013.07.005,13,0
10.1016_j.jebo.2008.09.007,2,0
10.1016_j.jebo.2013.04.001,4,0
10.1016_j.jebo.2019.03.007,5,0
10.1016_j.jebo.2019.12.007,7,0
10.1016_j.jebo.2023.06.027,4,0
10.1016_j.jebo.2024.02.003,2,0
10.1016_j.jeem.2023.102895,3,0
10.1016_j.jenvp.2020.101441,6,0
10.1016_j.jesp.2016.06.007,4,0
10.1016_j.jesp.2018.06.009,5,0
10.1016_j.jesp.2019.02.009,2,0
10.1016_j.joep.2012.10.004,6,0
10.1016_j.joep.2017.03.007,5,0
10.1016_j.joep.2019.102193,5,0
10.1016_j.joep.2023.102657,3,0
10.1016_j.jpubeco.2015.12.012,4,0
10.1016_j.jpubeco.2016.09.001,3,0
10.1016_j.jpubeco.2019.104053,6,0
10.1016_j.jpubeco.2021.104429,4,0
10.1016_j.jrp.2016.08.004,4,0
