dataset,repeat,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman
individual_papers,rep1,0.03023689350838892,0.16511467801399152,0.02890440142946682,0.17180230808455033
individual_papers,rep2,0.032703963698969954,0.16070568103334543,0.030428243496003128,0.1664347830581965
individual_papers,rep3,0.03675341533720775,0.1827146406382051,0.03528211393725604,0.18840671734059578
individual_papers,rep4,0.0293808291603856,0.15805640137185217,0.0284280018448482,0.16302455380976383
individual_papers,rep5,0.0371958235388488,0.18322795023207297,0.03624558426185235,0.18924892696704607
metadata_filter_collections,rep1,0.05182845676355623,0.20459393013644678,0.04432216519179104,0.21861012640767125
metadata_filter_collections,rep2,0.060140161174585295,0.22588063571772166,0.054666211129262544,0.22831383383749954
metadata_filter_collections,rep3,0.06228750369598677,0.23574225632081816,0.05618489619375866,0.2384540336700193
metadata_filter_collections,rep4,0.06909127878483268,0.19191856883983865,0.06577234721930511,0.25359039549157547
metadata_filter_collections,rep5,0.057594104800738496,0.21589906615549764,0.045340457687745486,0.22070581475272305
