item_type,repeat,model,n_items,n_finite,baseline_correlation,mean_augmented_correlation,sd_augmented_correlation,p10_augmented_correlation,p50_augmented_correlation,p90_augmented_correlation,n_above_baseline,share_above_baseline
collections,rep1,GPT-5.1,716,716,0.6311749649891302,0.5254138808843144,0.09623963935745974,0.39307622611522675,0.5338563024997711,0.6442441046237946,100,0.13966480446927373
collections,rep2,GPT-5.1,716,716,0.530755954052544,0.522843266311804,0.09835119725155962,0.3937186747789383,0.5259127616882324,0.6465765535831451,345,0.4818435754189944
collections,rep3,GPT-5.1,716,716,0.6111393111566699,0.5241330016258708,0.09614791813832145,0.39742158353328705,0.5285100936889648,0.6373286843299866,136,0.18994413407821228
collections,rep4,GPT-5.1,716,716,0.6802429975866384,0.5296535332734026,0.10136275491088288,0.3904709070920944,0.5408277213573456,0.6478295028209686,25,0.034916201117318434
collections,rep5,GPT-5.1,716,716,0.6299560130444035,0.5229476801634834,0.09817523914950674,0.3892132043838501,0.5282638967037201,0.6468641757965088,102,0.1424581005586592
collections,rep1,GPT-4.1 Mini,716,716,0.5994195279383704,0.6066037787114109,0.07430171034493428,0.5245701968669891,0.6131917238235474,0.6858641803264618,435,0.6075418994413407
collections,rep2,GPT-4.1 Mini,716,716,0.520869352474212,0.608608166140884,0.0719767760236111,0.5281275808811188,0.6147767305374146,0.6889630556106567,649,0.9064245810055865
collections,rep3,GPT-4.1 Mini,716,716,0.587222411426571,0.6053911645652196,0.07054579323938218,0.5207029283046722,0.6114593148231506,0.6855090260505676,460,0.6424581005586593
collections,rep4,GPT-4.1 Mini,716,716,0.6197047600949798,0.6073641876102159,0.06796143015579996,0.5263322293758392,0.6108487546443939,0.6859820783138275,308,0.4301675977653631
collections,rep5,GPT-4.1 Mini,716,716,0.6421931099221534,0.610705793236887,0.07364175233518579,0.5301895439624786,0.618132084608078,0.6935981810092926,235,0.32821229050279327
collections,rep1,GPT-4.1,715,715,0.5504489095313153,0.5973034374363773,0.066440545722436,0.5246596932411194,0.5989059209823608,0.6739456176757812,564,0.7888111888111888
collections,rep2,GPT-4.1,715,715,0.558907624283579,0.5972959380883437,0.06803214447395572,0.5178351640701294,0.5993908047676086,0.6747617721557617,516,0.7216783216783217
collections,rep3,GPT-4.1,715,715,0.4947311444368005,0.6011748511057634,0.06759769742939328,0.5188646793365479,0.6061374545097351,0.6800410509109497,674,0.9426573426573427
collections,rep4,GPT-4.1,715,715,0.5039690637359443,0.6004823162005498,0.06465509682870045,0.5258166313171386,0.6031851172447205,0.6742483258247376,673,0.9412587412587412
collections,rep5,GPT-4.1,715,715,0.5751415389442401,0.5987415793892387,0.06757689548432591,0.5200091600418091,0.6019421815872192,0.6778767347335816,477,0.6671328671328671
collections,rep1,GPT-5 Nano,716,715,0.4231474603853885,0.5684309645028381,0.0815073765326524,0.48591946363449096,0.5755537152290344,0.6550992965698242,681,0.9524475524475524
collections,rep2,GPT-5 Nano,716,715,0.5335078148092824,0.565950278468899,0.08152615016440201,0.467116779088974,0.5743458271026611,0.65214923620224,524,0.7328671328671329
collections,rep3,GPT-5 Nano,716,715,0.5821508816268516,0.5635091167229872,0.07752337812204292,0.46589159965515137,0.5688190460205078,0.6522112965583802,292,0.4083916083916084
collections,rep4,GPT-5 Nano,716,716,0.4308461940587171,0.5659566302185451,0.0766744831044921,0.47426457703113556,0.569848895072937,0.6542667746543884,688,0.9608938547486033
collections,rep5,GPT-5 Nano,716,715,0.586127691627856,0.5645364739261307,0.08076096798775355,0.47644450068473815,0.5701391696929932,0.6495171308517456,280,0.3916083916083916
collections,rep1,GPT-5 Mini,716,715,0.4037802080299411,0.5581289588988244,0.07236892532663695,0.47752355933189394,0.5648403167724609,0.6368181347846985,689,0.9636363636363636
collections,rep2,GPT-5 Mini,716,716,0.4941729899190084,0.5579756908743075,0.07125757742331773,0.484707310795784,0.5660033226013184,0.6380850970745087,632,0.88268156424581
collections,rep3,GPT-5 Mini,716,716,0.6021703158126074,0.5545232872057227,0.070911172978538,0.4758123606443405,0.5621282756328583,0.6310940980911255,158,0.2206703910614525
collections,rep4,GPT-5 Mini,716,716,0.5744703536767511,0.5562520661084346,0.07505885688093954,0.48097361624240875,0.5632943212985992,0.6339428126811981,303,0.4231843575418994
collections,rep5,GPT-5 Mini,716,716,0.4571359882168512,0.5583717029479296,0.07059228836703497,0.475283682346344,0.5664717853069305,0.6371094584465027,671,0.9371508379888268
