item_type,repeat,model,n_items,n_finite,baseline_correlation,mean_augmented_correlation,sd_augmented_correlation,p10_augmented_correlation,p50_augmented_correlation,p90_augmented_correlation,n_above_baseline,share_above_baseline
papers,rep1,GPT-5.1,2011,2011,0.6311749649891302,0.554181044909238,0.10164299907568013,0.4229201376438141,0.5634804964065552,0.6765448451042175,457,0.22725012431626057
papers,rep2,GPT-5.1,2011,2011,0.530755954052544,0.5509140943095999,0.10290642395275791,0.4124118685722351,0.5621406435966492,0.6667155027389526,1249,0.6210840377921432
papers,rep3,GPT-5.1,2011,2011,0.6111393111566699,0.5512572206456764,0.10046662724793813,0.42072978615760803,0.5640478730201721,0.6721243858337402,590,0.29338637493784187
papers,rep4,GPT-5.1,2011,2011,0.6802429975866384,0.5481309856309902,0.1004657103157858,0.420023649930954,0.5554459095001221,0.6699915528297424,160,0.07956240676280457
papers,rep5,GPT-5.1,2011,2009,0.6299560130444035,0.5509713157175147,0.10122818622409879,0.41675150990486143,0.5593925714492798,0.6697159290313721,427,0.21254355400696864
papers,rep1,GPT-4.1 Mini,2011,2011,0.5994195279383704,0.5791631772232435,0.07292712382562368,0.5024482011795044,0.5898337364196777,0.6513699293136597,846,0.4206862257583292
papers,rep2,GPT-4.1 Mini,2011,2011,0.520869352474212,0.580007223426288,0.07519914970090563,0.5065214037895203,0.5921587347984314,0.6487350463867188,1758,0.8741919443063153
papers,rep3,GPT-4.1 Mini,2011,2011,0.587222411426571,0.5791536941863865,0.07761073895531824,0.49592769145965576,0.5915407538414001,0.6528953909873962,1069,0.5315763301839881
papers,rep4,GPT-4.1 Mini,2011,2011,0.6197047600949798,0.5785855194076726,0.08173747216419859,0.5021470189094543,0.592308759689331,0.6521927118301392,533,0.2650422675285927
papers,rep5,GPT-4.1 Mini,2011,2011,0.6421931099221534,0.5798284644612969,0.07679269353524795,0.5014132261276245,0.5928389430046082,0.6542830467224121,300,0.14917951268025859
papers,rep1,GPT-4.1,2011,2011,0.5504489095313153,0.5783506642299052,0.0554329524900141,0.5203941464424133,0.577089250087738,0.6457834839820862,1466,0.7289905519641969
papers,rep2,GPT-4.1,2011,2011,0.558907624283579,0.5769449526074513,0.059396668522252505,0.5225535035133362,0.5766714811325073,0.6400717496871948,1320,0.6563898557931377
papers,rep3,GPT-4.1,2011,2010,0.4947311444368005,0.5777138948811228,0.05789576523346164,0.5214420318603515,0.5765353441238403,0.6453764200210571,1908,0.9492537313432836
papers,rep4,GPT-4.1,2011,2011,0.5039690637359443,0.5788829134011197,0.05359024761873997,0.5256912112236023,0.5773496627807617,0.640985906124115,1897,0.9433117851815017
papers,rep5,GPT-4.1,2011,2011,0.5751415389442401,0.5805255744971191,0.055406479565818866,0.5231451392173767,0.5803283452987671,0.6449863910675049,1098,0.5459970164097464
papers,rep1,GPT-5 Nano,2011,1998,0.4231474603853885,0.5483494232946148,0.08755368940682093,0.48196551501750945,0.5491161346435547,0.6258468568325043,1890,0.9459459459459459
papers,rep2,GPT-5 Nano,2011,1986,0.5335078148092824,0.5497995501455418,0.08788935798383656,0.4853615462779999,0.5491161346435547,0.6270309388637543,1510,0.7603222557905337
papers,rep3,GPT-5 Nano,2011,1992,0.5821508816268516,0.5479221298250867,0.08655422295980082,0.4783493638038635,0.5491161346435547,0.63015056848526,547,0.27459839357429716
papers,rep4,GPT-5 Nano,2011,1991,0.4308461940587171,0.5491598499597377,0.08075823552956822,0.48093071579933167,0.5491161346435547,0.6284676194190979,1884,0.946258161727775
papers,rep5,GPT-5 Nano,2011,1996,0.586127691627856,0.549756242862841,0.0838445875699083,0.4850253462791443,0.5491161346435547,0.6276874542236328,473,0.23697394789579157
papers,rep1,GPT-5 Mini,2011,2011,0.4037802080299411,0.5400571737629243,0.07885274752206116,0.4557217061519623,0.5491161346435547,0.6198551058769226,1918,0.9537543510691199
papers,rep2,GPT-5 Mini,2011,2007,0.4941729899190084,0.5420984581517038,0.07837333730148195,0.45424240827560425,0.5491161346435547,0.6243694067001343,1628,0.8111609367214748
papers,rep3,GPT-5 Mini,2011,2010,0.6021703158126074,0.5393933318027142,0.08462993177101816,0.4479248017072678,0.5491161346435547,0.6233528435230256,355,0.17661691542288557
papers,rep4,GPT-5 Mini,2011,2009,0.5744703536767511,0.538572030686187,0.07890392216070824,0.4498167812824249,0.5491161346435547,0.6234917283058167,603,0.3001493280238925
papers,rep5,GPT-5 Mini,2011,2009,0.4571359882168512,0.5435491408457384,0.07384081540021621,0.460749089717865,0.5491161346435547,0.625086510181427,1825,0.9084121453459433
