dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman,dataset_label,model_label,scope_order,se_fold_r2,se_fold_spearman
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,extra_trees,715,715,0.1940057423072135,0.4540359776112483,0.1860385344821543,0.4507510938387905,0.0845782987210851,0.0369433810050265,Collections,Extra Trees,0,0.03782456507232596,0.016521582249182747
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2011,2011,0.0321622762843235,0.1962156808354712,0.0339191166428038,0.1989520220923445,0.0130952826716238,0.0277168141496371,Individual papers,Ridge,0,0.005856388447665175,0.012395336111663316
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,gradient_boosting,716,716,0.1924527595454991,0.3935890761257162,0.186761101326513,0.3919026198020855,0.1049160633557775,0.1125310771748927,Collections,Gradient Boosting,1,0.046919889919038636,0.05032542762886701
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,gradient_boosting,2011,2011,0.1801400624864707,0.4631079809590377,0.1829847590683702,0.4661249196631896,0.0662927874346006,0.0277887325901333,Individual papers,Gradient Boosting,1,0.029647035824342166,0.01242749901602037
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.1246000440510481,0.3026078010253228,0.1162290244254799,0.3046714124470316,0.0529185867856791,0.0452590807454841,Collections,Gradient Boosting,2,0.023665911465200112,0.02024047622921086
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2011,2011,0.0460826660149348,0.2249882579162684,0.045962454312182,0.2281458241620332,0.0146722283344922,0.039124478360965,Individual papers,Ridge,2,0.0065616199874646165,0.017496998639867457
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,extra_trees,716,716,0.1890084524284589,0.2394213868035133,0.1911996361300277,0.2400488350919966,0.1131608988180977,0.0500831473329567,Collections,Extra Trees,3,0.05060709243044841,0.022397864392725692
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2011,2011,0.0517060422784395,0.284013398804024,0.0510727481150785,0.2894536453512465,0.0181749418701952,0.0530023919554548,Individual papers,Ridge,3,0.008128081101772724,0.023703390276496986
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,random_forest,716,716,0.0807044052928711,0.2179613930601996,0.0739047392635265,0.2220006134224433,0.0389125024739594,0.05184096460326,Collections,Random Forest,4,0.01740220014128039,0.023183984174409953
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,2011,2011,0.0322523262323125,0.1853927786148467,0.0316812941619809,0.1907656737287041,0.0162559459585242,0.0631094247042107,Individual papers,Ridge,4,0.007269880040364616,0.028223392731903937
