feature_key,feature_label,mean_abs_shap,mean_signed_shap
collection_size,Number of Papers,0.013753033397057598,-0.00024386903833737615
empirical_share,Empirical Papers,0.007413822766279585,-0.00017815250409910667
citation,Citation,0.0030282997613103593,-0.0002258820609238898
recent,Publication Year,0.003354511909016269,-1.1351088605654848e-05
mathphysics_share,Math/Physics Journals,0.004521309633991338,0.00018297330862699097
psychology_share,Psychology Journals,0.00192281822798425,0.00036415080588370893
journal_impact,Journal Impact Factor,0.003149734245345575,0.00019060352581717308
multidisciplinary_share,Multidisciplinary Journals,0.0015389568328549254,-6.323425859494156e-05
economics_share,Economics Journals,0.0025762489422054176,-3.937900994552055e-06
biology_share,Biology Journals,0.0022755468738779767,-1.1300788772327446e-05
