model,variant_id,correlation,baseline_correlation
GPT-5.1,citation_q3__jcr_q4__discipline_math_phys_cs,0.23956365287303924,0.6166538481658772
GPT-5.1,type_empirical__citation_q2__discipline_multidisciplinary,0.2846131563186646,0.6166538481658772
GPT-5.1,type_empirical__year_q2__discipline_math_phys_cs,0.289927476644516,0.6166538481658772
GPT-5.1,citation_q3__jcr_q4__discipline_psych_social,0.2913886934518814,0.6166538481658772
GPT-5.1,type_empirical__jcr_q4__year_q2,0.32793700098991396,0.6166538481658772
GPT-5.1,type_empirical__year_q1_oldest__discipline_multidisciplinary,0.33491896092891693,0.6166538481658772
GPT-5.1,jcr_q4__year_q2__discipline_economics,0.336133736371994,0.6166538481658772
GPT-5.1,citation_q3__year_q2__discipline_math_phys_cs,0.3372163474559784,0.6166538481658772
GPT-5.1,citation_q3__jcr_q4,0.34143480360507966,0.6166538481658772
GPT-5.1,jcr_q4__year_q2__discipline_math_phys_cs,0.3419572710990906,0.6166538481658772
GPT-5.1,jcr_q3__discipline_other,0.3436914563179016,0.6166538481658772
GPT-5.1,citation_q4_highest__jcr_q2__discipline_economics,0.34398728609085083,0.6166538481658772
GPT-5.1,type_empirical__year_q4_newest__discipline_other,0.3464147835969925,0.6166538481658772
GPT-5.1,jcr_q3__year_q1_oldest__discipline_economics,0.3471969127655029,0.6166538481658772
GPT-5.1,citation_q2__jcr_q4,0.3503724902868271,0.6166538481658772
GPT-5.1,citation_q3__jcr_q4__discipline_economics,0.3556702256202698,0.6166538481658772
GPT-5.1,type_empirical__citation_q3__jcr_q4,0.3613741397857666,0.6166538481658772
GPT-5.1,citation_q3__jcr_q4__year_q2,0.364589923620224,0.6166538481658772
GPT-5.1,jcr_q4__year_q2__discipline_psych_social,0.3648117184638977,0.6166538481658772
GPT-5.1,jcr_q3__year_q3__discipline_math_phys_cs,0.36510056257247925,0.6166538481658772
GPT-5.1,type_empirical__citation_q2__year_q1_oldest,0.36779850721359253,0.6166538481658772
GPT-5.1,citation_q4_highest__year_q2__discipline_economics,0.37552399933338165,0.6166538481658772
GPT-5.1,citation_q2__jcr_q4__discipline_economics,0.38174118399620055,0.6166538481658772
GPT-5.1,year_q3__discipline_multidisciplinary,0.38307920694351194,0.6166538481658772
GPT-5.1,jcr_q4__year_q2,0.38574052453041074,0.6166538481658772
GPT-5.1,type_theoretical__year_q3__discipline_psych_social,0.3862227737903595,0.6166538481658772
GPT-5.1,jcr_q2__year_q4_newest__discipline_math_phys_cs,0.3889716684818268,0.6166538481658772
GPT-5.1,type_empirical__citation_q1_lowest__discipline_math_phys_cs,0.3897989273071289,0.6166538481658772
GPT-5.1,type_theoretical__jcr_q2__year_q2,0.3912836790084839,0.6166538481658772
GPT-5.1,type_theoretical__citation_q2__discipline_math_phys_cs,0.3925901591777802,0.6166538481658772
GPT-5.1,type_empirical__jcr_q2__discipline_psych_social,0.39295234680175783,0.6166538481658772
GPT-5.1,jcr_q2__year_q4_newest__discipline_economics,0.39545770883560183,0.6166538481658772
GPT-5.1,citation_q2__jcr_q3__discipline_math_phys_cs,0.39604376554489135,0.6166538481658772
GPT-5.1,citation_q3__year_q4_newest,0.39638655781745913,0.6166538481658772
GPT-5.1,type_empirical__citation_q3__discipline_math_phys_cs,0.3969803750514984,0.6166538481658772
GPT-5.1,citation_q4_highest__year_q1_oldest__discipline_math_phys_cs,0.39707717299461365,0.6166538481658772
GPT-5.1,citation_q3__year_q2__discipline_psych_social,0.3975770533084869,0.6166538481658772
GPT-5.1,year_q1_oldest,0.39835128784179685,0.6166538481658772
GPT-5.1,citation_q1_lowest__year_q2__discipline_math_phys_cs,0.3992685079574585,0.6166538481658772
GPT-5.1,citation_q4_highest__jcr_q3,0.4002790868282318,0.6166538481658772
GPT-5.1,type_empirical__year_q1_oldest__discipline_other,0.40315901339054105,0.6166538481658772
GPT-5.1,citation_q1_lowest__jcr_q2__discipline_psych_social,0.4039280116558075,0.6166538481658772
GPT-5.1,citation_q2__jcr_q3__year_q1_oldest,0.4051003694534302,0.6166538481658772
GPT-5.1,type_empirical__citation_q4_highest__discipline_bio_evo,0.40541098117828367,0.6166538481658772
GPT-5.1,citation_q1_lowest__year_q3__discipline_multidisciplinary,0.4065908372402191,0.6166538481658772
GPT-5.1,type_empirical__jcr_q4__discipline_psych_social,0.4079894542694092,0.6166538481658772
GPT-5.1,citation_q3__jcr_q2__discipline_math_phys_cs,0.4092552483081818,0.6166538481658772
GPT-5.1,citation_q3__year_q1_oldest__discipline_multidisciplinary,0.4100353479385376,0.6166538481658772
GPT-5.1,type_empirical__citation_q4_highest__jcr_q2,0.41065012514591215,0.6166538481658772
GPT-5.1,citation_q3__year_q4_newest__discipline_multidisciplinary,0.41173475980758667,0.6166538481658772
GPT-5.1,citation_q3__discipline_multidisciplinary,0.41249716877937315,0.6166538481658772
GPT-5.1,citation_q3__year_q4_newest__discipline_math_phys_cs,0.41408008337020874,0.6166538481658772
GPT-5.1,citation_q1_lowest__jcr_q3__discipline_other,0.41439216732978823,0.6166538481658772
GPT-5.1,jcr_q2__year_q1_oldest__discipline_psych_social,0.4165637731552124,0.6166538481658772
GPT-5.1,jcr_q4__discipline_economics,0.4202413260936737,0.6166538481658772
GPT-5.1,type_empirical__citation_q1_lowest__discipline_other,0.420355761051178,0.6166538481658772
GPT-5.1,citation_q2__jcr_q2__discipline_math_phys_cs,0.42308831214904785,0.6166538481658772
GPT-5.1,citation_q1_lowest__year_q3__discipline_other,0.4233962714672089,0.6166538481658772
GPT-5.1,type_empirical__citation_q3,0.4245867133140564,0.6166538481658772
GPT-5.1,citation_q3__jcr_q2__year_q4_newest,0.42683039903640746,0.6166538481658772
GPT-5.1,type_empirical__jcr_q1__discipline_other,0.42687085270881653,0.6166538481658772
GPT-5.1,jcr_q3__year_q3,0.42716396450996397,0.6166538481658772
GPT-5.1,citation_q3__discipline_math_phys_cs,0.4272474229335785,0.6166538481658772
GPT-5.1,type_empirical__jcr_q1,0.4296605050563812,0.6166538481658772
GPT-5.1,citation_q3__jcr_q1__year_q3,0.43065141439437865,0.6166538481658772
GPT-5.1,citation_q4_highest__jcr_q3__discipline_math_phys_cs,0.43249916434288027,0.6166538481658772
GPT-5.1,citation_q4_highest__year_q2__discipline_multidisciplinary,0.43357470631599426,0.6166538481658772
GPT-5.1,year_q2__discipline_math_phys_cs,0.4336720943450928,0.6166538481658772
GPT-5.1,citation_q1_lowest__year_q4_newest__discipline_economics,0.43473747968673704,0.6166538481658772
GPT-5.1,citation_q4_highest__jcr_q2__year_q1_oldest,0.4355847895145416,0.6166538481658772
GPT-5.1,type_theoretical__citation_q4_highest__year_q3,0.43591574430465696,0.6166538481658772
GPT-5.1,citation_q3__year_q2__discipline_economics,0.4368661463260651,0.6166538481658772
GPT-5.1,citation_q1_lowest__year_q4_newest__discipline_multidisciplinary,0.43742417693138125,0.6166538481658772
GPT-5.1,citation_q3__jcr_q4__year_q1_oldest,0.4374540627002716,0.6166538481658772
GPT-5.1,type_theoretical__citation_q1_lowest__jcr_q3,0.4375381529331207,0.6166538481658772
GPT-5.1,type_empirical__jcr_q4__year_q4_newest,0.4381843090057373,0.6166538481658772
GPT-5.1,discipline_math_phys_cs,0.4383064866065979,0.6166538481658772
GPT-5.1,type_empirical__jcr_q3__discipline_other,0.4383366346359253,0.6166538481658772
