model,n_items,baseline_correlation,baseline_repeat_sd,baseline_repeat_se,mean_augmented_correlation
GPT-4.1,2011,0.5366396561863759,0.03532932148071059,0.01579975288596248,
GPT-4.1 Mini,2011,0.5938818323712572,0.045843863588961704,0.02050199906722917,0.5793476700782776
GPT-5 Mini,2011,0.5063459711310319,0.08202556946068738,0.03668294984144555,
GPT-5 Nano,2011,0.5111560085016191,0.07961752219744764,0.035606038366718266,
GPT-5.1,2011,0.6166538481658772,0.05440645338523103,0.024331305636810026,
