model,baseline_correlation,mean_augmented_correlation,sd_augmented_correlation,n_above_baseline,n_below_or_equal_baseline,share_augmented_collections_above_baseline,share_augmented_collections_below_or_equal_baseline,n_collections,benchmark_correlation
GPT-5.1,0.6166538481658772,0.524998272451775,0.07087507734490553,59,657,0.0824022346368715,0.9175977653631285,716,0.8049163371605292
GPT-4.1 Mini,0.5938818323712572,0.6077346180529235,0.05468861477381762,473,243,0.6606145251396648,0.3393854748603352,716,0.7525406704608562
GPT-4.1,0.5366396561863759,0.5989996244440545,0.05675408191136301,636,79,0.8895104895104895,0.11048951048951049,715,0.7884209816846988
GPT-5 Nano,0.5111560085016191,0.5656878707763952,0.05024784596377997,641,75,0.8952513966480447,0.10474860335195531,716,0.7050913289502174
GPT-5 Mini,0.5063459711310319,0.5570436532270976,0.053403530425134786,636,80,0.888268156424581,0.11173184357541899,716,0.7888895948034438
