model,baseline_correlation,mean_augmented_correlation,sd_augmented_correlation,n_above_baseline,n_below_or_equal_baseline,share_augmented_papers_below_baseline,share_augmented_papers_above_baseline,n_papers,benchmark_correlation
GPT-5.1,0.6166538481658772,0.5510951357946904,0.06474120246033888,273,1738,0.8642466434609647,0.1357533565390353,2011,0.8049163371605292
GPT-4.1 Mini,0.5938818323712572,0.5793476157409775,0.057148248291383895,924,1087,0.5405271009448036,0.4594728990551964,2011,0.7525406704608562
GPT-4.1,0.5366396561863759,0.5784832329247083,0.04304333046370038,1819,192,0.09547488811536549,0.9045251118846345,2011,0.7884209816846988
GPT-5 Nano,0.5111560085016191,0.5482969003326612,0.06444838910926826,1751,260,0.12928891098955744,0.8707110890104426,2011,0.7050913289502174
GPT-5 Mini,0.5063459711310319,0.5405876621640552,0.05825454758163622,1636,375,0.18647439085032322,0.8135256091496768,2011,0.7888895948034438
