model,repeat,group,correlation,share_below,pct_below
GPT-5.1,1,Experts,0.6311749649891302,0.868421052631579,86.8421052631579
GPT-5.1,2,Experts,0.530755954052544,0.42105263157894735,42.10526315789473
GPT-5.1,3,Experts,0.6111393111566699,0.7894736842105263,78.94736842105263
GPT-5.1,4,Experts,0.6802429975866384,1.0,100.0
GPT-5.1,5,Experts,0.6299560130444035,0.868421052631579,86.8421052631579
GPT-5.1,1,Laypeople,0.6311749649891302,0.9145299145299145,91.45299145299145
GPT-5.1,2,Laypeople,0.530755954052544,0.6324786324786325,63.24786324786324
GPT-5.1,3,Laypeople,0.6111393111566699,0.8824786324786325,88.24786324786325
GPT-5.1,4,Laypeople,0.6802429975866384,0.967948717948718,96.7948717948718
GPT-5.1,5,Laypeople,0.6299560130444035,0.9123931623931624,91.23931623931624
GPT-4.1 Mini,1,Experts,0.5994195279383704,0.7631578947368421,76.31578947368422
GPT-4.1 Mini,2,Experts,0.520869352474212,0.39473684210526316,39.473684210526315
GPT-4.1 Mini,3,Experts,0.587222411426571,0.7105263157894737,71.05263157894737
GPT-4.1 Mini,4,Experts,0.6197047600949798,0.8421052631578947,84.21052631578947
GPT-4.1 Mini,5,Experts,0.6421931099221534,0.9210526315789473,92.10526315789474
GPT-4.1 Mini,1,Laypeople,0.5994195279383704,0.844017094017094,84.4017094017094
GPT-4.1 Mini,2,Laypeople,0.520869352474212,0.6068376068376068,60.68376068376068
GPT-4.1 Mini,3,Laypeople,0.587222411426571,0.8247863247863247,82.47863247863248
GPT-4.1 Mini,4,Laypeople,0.6197047600949798,0.8974358974358975,89.74358974358975
GPT-4.1 Mini,5,Laypeople,0.6421931099221534,0.9358974358974359,93.58974358974359
GPT-4.1,1,Experts,0.5504489095313153,0.5,50.0
GPT-4.1,2,Experts,0.558907624283579,0.5789473684210527,57.89473684210527
GPT-4.1,3,Experts,0.4947311444368005,0.3157894736842105,31.57894736842105
GPT-4.1,4,Experts,0.5039690637359443,0.3157894736842105,31.57894736842105
GPT-4.1,5,Experts,0.5751415389442401,0.631578947368421,63.1578947368421
GPT-4.1,1,Laypeople,0.5504489095313153,0.6987179487179487,69.87179487179486
GPT-4.1,2,Laypeople,0.558907624283579,0.7350427350427351,73.50427350427351
GPT-4.1,3,Laypeople,0.4947311444368005,0.5256410256410257,52.56410256410257
GPT-4.1,4,Laypeople,0.5039690637359443,0.5470085470085471,54.700854700854705
GPT-4.1,5,Laypeople,0.5751415389442401,0.7948717948717948,79.48717948717949
GPT-4.1 Nano,1,Experts,0.5267772584324575,0.42105263157894735,42.10526315789473
GPT-4.1 Nano,2,Experts,0.5476778496444727,0.47368421052631576,47.368421052631575
GPT-4.1 Nano,3,Experts,0.3435794190259667,0.13157894736842105,13.157894736842104
GPT-4.1 Nano,4,Experts,0.5844057716699012,0.6842105263157895,68.42105263157895
GPT-4.1 Nano,5,Experts,0.5812036620071225,0.631578947368421,63.1578947368421
GPT-4.1 Nano,1,Laypeople,0.5267772584324575,0.6260683760683761,62.60683760683761
GPT-4.1 Nano,2,Laypeople,0.5476778496444727,0.6901709401709402,69.01709401709401
GPT-4.1 Nano,3,Laypeople,0.3435794190259667,0.2799145299145299,27.99145299145299
GPT-4.1 Nano,4,Laypeople,0.5844057716699012,0.8183760683760684,81.83760683760684
GPT-4.1 Nano,5,Laypeople,0.5812036620071225,0.8141025641025641,81.41025641025641
GPT-5 Nano,1,Experts,0.4231474603853885,0.15789473684210525,15.789473684210526
GPT-5 Nano,2,Experts,0.5335078148092824,0.42105263157894735,42.10526315789473
GPT-5 Nano,3,Experts,0.5821508816268516,0.631578947368421,63.1578947368421
GPT-5 Nano,4,Experts,0.4308461940587171,0.15789473684210525,15.789473684210526
GPT-5 Nano,5,Experts,0.586127691627856,0.7105263157894737,71.05263157894737
GPT-5 Nano,1,Laypeople,0.4231474603853885,0.3696581196581197,36.965811965811966
GPT-5 Nano,2,Laypeople,0.5335078148092824,0.6388888888888888,63.888888888888886
GPT-5 Nano,3,Laypeople,0.5821508816268516,0.8162393162393162,81.62393162393163
GPT-5 Nano,4,Laypeople,0.4308461940587171,0.37606837606837606,37.60683760683761
GPT-5 Nano,5,Laypeople,0.586127691627856,0.8205128205128205,82.05128205128204
GPT-5 Mini,1,Experts,0.4037802080299411,0.15789473684210525,15.789473684210526
GPT-5 Mini,2,Experts,0.4941729899190084,0.3157894736842105,31.57894736842105
GPT-5 Mini,3,Experts,0.6021703158126074,0.7894736842105263,78.94736842105263
GPT-5 Mini,4,Experts,0.5744703536767511,0.631578947368421,63.1578947368421
GPT-5 Mini,5,Experts,0.4571359882168512,0.15789473684210525,15.789473684210526
GPT-5 Mini,1,Laypeople,0.4037802080299411,0.34615384615384615,34.61538461538461
GPT-5 Mini,2,Laypeople,0.4941729899190084,0.5256410256410257,52.56410256410257
GPT-5 Mini,3,Laypeople,0.6021703158126074,0.8589743589743589,85.8974358974359
GPT-5 Mini,4,Laypeople,0.5744703536767511,0.7905982905982906,79.05982905982906
GPT-5 Mini,5,Laypeople,0.4571359882168512,0.42735042735042733,42.73504273504273
