kind,model_a,model_b,n_items,epsilon,observed_spearman,order_agreement_excluding_near_ties,informative_pair_coverage
papers,GPT-5.1,GPT-4.1 Mini,2011,0.06,0.24369413376425206,0.7403575918424361,0.17711046953200185
papers,GPT-5.1,GPT-4.1,2011,0.06,0.260776237412502,0.8004566615597546,0.13370343706628468
papers,GPT-5.1,GPT-5 Nano,2011,0.06,0.22408683781641364,0.715466015586758,0.16678467434087643
papers,GPT-5.1,GPT-5 Mini,2011,0.06,0.308776151893766,0.7997457289586757,0.18758668121352462
papers,GPT-4.1 Mini,GPT-4.1,2011,0.06,0.4441966541927295,0.9345970133424704,0.12130149847480648
papers,GPT-4.1 Mini,GPT-5 Nano,2011,0.06,0.3684781656479724,0.8772713868449138,0.14094025150230943
papers,GPT-4.1 Mini,GPT-5 Mini,2011,0.06,0.4166245253469438,0.8919432352867172,0.15731585731214637
papers,GPT-4.1,GPT-5 Nano,2011,0.06,0.3482780587124224,0.8855789526017727,0.1094740123351418
papers,GPT-4.1,GPT-5 Mini,2011,0.06,0.3596652221722829,0.9138103763905933,0.1229778506769979
papers,GPT-5 Nano,GPT-5 Mini,2011,0.06,0.39391219538689776,0.8930233943087413,0.14955209036864409
collections,GPT-5.1,GPT-4.1 Mini,715,0.06,0.43954937602653676,0.8779183599598546,0.238110908699144
collections,GPT-5.1,GPT-4.1,715,0.06,0.45077999925460677,0.8851665764860478,0.25341325341325344
collections,GPT-5.1,GPT-5 Nano,715,0.06,0.36687864770387857,0.8511532044361566,0.1995847289964937
collections,GPT-5.1,GPT-5 Mini,715,0.06,0.46461695111179446,0.9172418911897869,0.21113004642416408
collections,GPT-4.1 Mini,GPT-4.1,715,0.06,0.6288822796401945,0.9582583102493075,0.22628352040116745
collections,GPT-4.1 Mini,GPT-5 Nano,715,0.06,0.38413175336434047,0.8617941162262692,0.1621985857279975
collections,GPT-4.1 Mini,GPT-5 Mini,715,0.06,0.41971768307044327,0.9025662232637214,0.17052359405300582
collections,GPT-4.1,GPT-5 Nano,715,0.06,0.3569128684703758,0.8827301768941019,0.16432978785919963
collections,GPT-4.1,GPT-5 Mini,715,0.06,0.44860654377837983,0.9403547527775973,0.18088969853675735
collections,GPT-5 Nano,GPT-5 Mini,715,0.06,0.29389433659892267,0.8773989297621382,0.13983271630330454
