group,value,kind,label
Laypeople,0.5351874594696102,individual,Laypeople
Laypeople,0.3661850748330347,individual,Laypeople
Laypeople,0.2587654912565241,individual,Laypeople
Laypeople,0.2506755719138591,individual,Laypeople
Laypeople,0.3277362524583957,individual,Laypeople
Laypeople,0.5750715539250353,individual,Laypeople
Laypeople,0.6338024352096652,individual,Laypeople
Laypeople,0.5688098019465192,individual,Laypeople
Laypeople,0.6014954946348428,individual,Laypeople
Laypeople,0.6701983353562979,individual,Laypeople
Laypeople,0.5594095764899999,individual,Laypeople
Laypeople,0.3309054394004845,individual,Laypeople
Laypeople,0.03332557745561191,individual,Laypeople
Laypeople,0.5393154370081326,individual,Laypeople
Laypeople,0.6011598408359885,individual,Laypeople
Laypeople,0.5571678571709934,individual,Laypeople
Laypeople,0.7491956768425445,individual,Laypeople
Laypeople,0.4776043324246453,individual,Laypeople
Laypeople,-0.5223387422330276,individual,Laypeople
Laypeople,0.03535639342533631,individual,Laypeople
Laypeople,0.5228923082148064,individual,Laypeople
Laypeople,0.6021279400154352,individual,Laypeople
Laypeople,0.27986790406697293,individual,Laypeople
Laypeople,0.2552545247160051,individual,Laypeople
Laypeople,0.3101737293234778,individual,Laypeople
Laypeople,0.6879115690578403,individual,Laypeople
Laypeople,0.5838567653528385,individual,Laypeople
Laypeople,0.21932909457002112,individual,Laypeople
Laypeople,0.44293625886933824,individual,Laypeople
Laypeople,0.3724397644076971,individual,Laypeople
Laypeople,0.5312706652085669,individual,Laypeople
Laypeople,0.6372032127301691,individual,Laypeople
Laypeople,0.538623039610824,individual,Laypeople
Laypeople,0.6076085431574644,individual,Laypeople
Laypeople,0.464796256924225,individual,Laypeople
Laypeople,0.16714420491944126,individual,Laypeople
Laypeople,0.3064992770170558,individual,Laypeople
Laypeople,0.5298880159900097,individual,Laypeople
Laypeople,0.5912690593515507,individual,Laypeople
Laypeople,0.310740738092265,individual,Laypeople
Laypeople,0.5251478136678923,individual,Laypeople
Laypeople,0.6210419050872826,individual,Laypeople
Laypeople,0.5241636426372444,individual,Laypeople
Laypeople,0.6826831254121003,individual,Laypeople
Laypeople,0.44813846443533506,individual,Laypeople
Laypeople,-0.0015539651904807126,individual,Laypeople
Laypeople,0.6146841146661599,individual,Laypeople
Laypeople,0.4949355785646804,individual,Laypeople
Laypeople,0.6912466699399847,individual,Laypeople
Laypeople,0.14376138592893242,individual,Laypeople
Laypeople,0.5647418665622069,individual,Laypeople
Laypeople,0.5522737954376871,individual,Laypeople
Laypeople,0.6094184550050638,individual,Laypeople
Laypeople,0.17705928912973268,individual,Laypeople
Laypeople,0.6049231270967094,individual,Laypeople
Laypeople,0.639401513205092,individual,Laypeople
Laypeople,0.5104120230598399,individual,Laypeople
Laypeople,0.5897878444686512,individual,Laypeople
Laypeople,0.4654146764144116,individual,Laypeople
Laypeople,0.436872609010713,individual,Laypeople
Laypeople,0.6119019646774391,individual,Laypeople
Laypeople,0.4587837237361006,individual,Laypeople
Laypeople,0.3730441843597026,individual,Laypeople
Laypeople,0.36028715313867876,individual,Laypeople
Laypeople,0.6434338631520544,individual,Laypeople
Laypeople,0.38500500097355356,individual,Laypeople
Laypeople,0.6247619952974943,individual,Laypeople
Laypeople,0.5633392653060948,individual,Laypeople
Laypeople,-0.3761943971755421,individual,Laypeople
Laypeople,0.5966470947105557,individual,Laypeople
Laypeople,0.4177570200774027,individual,Laypeople
Laypeople,0.3376727721574741,individual,Laypeople
Laypeople,0.14952040014015944,individual,Laypeople
Laypeople,0.39059968555472047,individual,Laypeople
Laypeople,0.497403593737713,individual,Laypeople
Laypeople,0.6803108187299646,individual,Laypeople
Laypeople,0.504083754020668,individual,Laypeople
Laypeople,0.257246621340933,individual,Laypeople
Laypeople,0.5467459066823337,individual,Laypeople
Laypeople,0.51311899101385,individual,Laypeople
Laypeople,0.37368316271871105,individual,Laypeople
Laypeople,-0.19245186117792798,individual,Laypeople
Laypeople,0.7420938243342559,individual,Laypeople
Laypeople,-0.0966695560855071,individual,Laypeople
Laypeople,0.6038012810394362,individual,Laypeople
Laypeople,0.5192279129854941,individual,Laypeople
Laypeople,0.4988010386965315,individual,Laypeople
Laypeople,0.5264252742886334,individual,Laypeople
Laypeople,0.6628265849341287,individual,Laypeople
Laypeople,0.5477504644083472,individual,Laypeople
Laypeople,0.2847003015864492,individual,Laypeople
Laypeople,0.5862142960548538,individual,Laypeople
Laypeople,0.33775774897651484,individual,Laypeople
Laypeople,0.40701154132067563,individual,Laypeople
Laypeople,0.5380289772040533,individual,Laypeople
Laypeople,0.08778379612137278,individual,Laypeople
Laypeople,0.22876366535942616,individual,Laypeople
Laypeople,0.08432650288967691,individual,Laypeople
Laypeople,0.4606852426342679,individual,Laypeople
Laypeople,0.5685493268220825,individual,Laypeople
Laypeople,0.42420280117912706,individual,Laypeople
Laypeople,0.09015619650497655,individual,Laypeople
Laypeople,0.6362474604571483,individual,Laypeople
Laypeople,0.5994571799005486,individual,Laypeople
Laypeople,0.5553910335335375,individual,Laypeople
Laypeople,0.09612077338674131,individual,Laypeople
Laypeople,0.47118612923613656,individual,Laypeople
Laypeople,0.5800062180958204,individual,Laypeople
Laypeople,0.5184809397544816,individual,Laypeople
Laypeople,0.6040853533175004,individual,Laypeople
Laypeople,0.004805795789722369,individual,Laypeople
Laypeople,0.6154682607513661,individual,Laypeople
Laypeople,0.5000845304788937,individual,Laypeople
Laypeople,0.674262589338661,individual,Laypeople
Laypeople,0.46357594955979947,individual,Laypeople
Laypeople,0.5719478678971656,individual,Laypeople
Laypeople,0.12053137581424729,individual,Laypeople
Laypeople,0.35929970083301016,individual,Laypeople
Laypeople,0.4145318632749763,individual,Laypeople
Laypeople,0.5653376631348134,individual,Laypeople
Laypeople,0.6164957982358201,individual,Laypeople
Laypeople,0.4826689514102363,individual,Laypeople
Laypeople,0.23569948827585002,individual,Laypeople
Laypeople,0.16493868346221766,individual,Laypeople
Laypeople,0.5481049578074757,individual,Laypeople
Laypeople,0.5184540771055597,individual,Laypeople
Laypeople,-0.5941363830494724,individual,Laypeople
Laypeople,0.02372014229531899,individual,Laypeople
Laypeople,0.5644497081506546,individual,Laypeople
Laypeople,0.5082288597144363,individual,Laypeople
Laypeople,0.48909427910564574,individual,Laypeople
Laypeople,0.5423399094996805,individual,Laypeople
Laypeople,0.5793567328705475,individual,Laypeople
Laypeople,0.4176646653444537,individual,Laypeople
Laypeople,0.4551966541375514,individual,Laypeople
Laypeople,0.3484004101952551,individual,Laypeople
Laypeople,0.45615317645540565,individual,Laypeople
Laypeople,0.6052242924269694,individual,Laypeople
Laypeople,0.6094103072423316,individual,Laypeople
Laypeople,0.21440473110703448,individual,Laypeople
Laypeople,0.2553542357292235,individual,Laypeople
Laypeople,0.07193295023436706,individual,Laypeople
Laypeople,-0.019843311234580947,individual,Laypeople
Laypeople,0.6916695817781972,individual,Laypeople
Laypeople,0.6403367136396882,individual,Laypeople
Laypeople,0.47797291541516057,individual,Laypeople
Laypeople,0.585947093311114,individual,Laypeople
Laypeople,0.5229792840290854,individual,Laypeople
Laypeople,0.49648218933604277,individual,Laypeople
Laypeople,0.579977391363192,individual,Laypeople
Laypeople,0.3931977118686605,individual,Laypeople
Laypeople,0.6929012511495963,individual,Laypeople
Laypeople,0.601804996860304,individual,Laypeople
Laypeople,0.5454917448680657,individual,Laypeople
Laypeople,0.12916244653341635,individual,Laypeople
Laypeople,0.43632388935390154,individual,Laypeople
Laypeople,0.7221183640723992,individual,Laypeople
Laypeople,0.44352075020178255,individual,Laypeople
Laypeople,0.5152462001447607,individual,Laypeople
Laypeople,0.5163053162646073,individual,Laypeople
Laypeople,0.48729435981887453,individual,Laypeople
Laypeople,0.3898335696150501,individual,Laypeople
Laypeople,-0.04012922536288957,individual,Laypeople
Laypeople,0.5131431862189595,individual,Laypeople
Laypeople,0.46140371914405265,individual,Laypeople
Laypeople,0.5561653090019876,individual,Laypeople
Laypeople,0.4675988045832952,individual,Laypeople
Laypeople,0.5118801853556508,individual,Laypeople
Laypeople,0.5907470853258974,individual,Laypeople
Laypeople,0.3262402947286737,individual,Laypeople
Laypeople,0.5759935923461046,individual,Laypeople
Laypeople,0.4966004545151625,individual,Laypeople
Laypeople,0.559934155031638,individual,Laypeople
