condition,model_a,model_b,mean_diff_a_minus_b,ci95_low,ci95_high,welch_df,pvalue,ci95_excludes_zero,pvalue_bh,bh_reject_0_05
baseline,GPT-4.1 Mini,GPT-5.1,-0.02277201579461996,-0.0965119042281908,0.050967872638950876,7.776353951760288,0.49509585120432054,False,0.7353817278897549,False
baseline,GPT-4.1 Mini,GPT-4.1 Nano,0.07715304021527314,-0.044954314936692275,0.19926039536723855,5.618473958603713,0.17036501598657153,False,0.3194344049748216,False
baseline,GPT-4.1 Mini,GPT-5 Nano,0.08272582386963812,-0.016342119844659733,0.18179376758393595,6.389692833417166,0.08782522330638903,False,0.2042215116360358,False
baseline,GPT-4.1 Mini,GPT-5 Mini,0.08753586124022539,-0.014202653987268221,0.189274376467719,6.2767778069637465,0.08033679938077504,False,0.2042215116360358,False
baseline,GPT-4.1,GPT-5.1,-0.08001419197950133,-0.14889088040981463,-0.011137503549188008,6.864092404351012,0.028729662966772554,True,0.2042215116360358,False
baseline,GPT-4.1,GPT-4.1 Mini,-0.057242176184881366,-0.11761125149110678,0.0031268991213440483,7.512318005617746,0.06008009990408815,False,0.2042215116360358,False
baseline,GPT-4.1,GPT-4.1 Nano,0.019910864030391773,-0.10179358184025838,0.14161530990104193,4.988560021177109,0.6913884431063491,False,0.8642355538829363,False
baseline,GPT-4.1,GPT-5 Nano,0.02548364768475675,-0.07189610003614601,0.1228633954056595,5.516433831783963,0.5392799337858203,False,0.7353817278897549,False
baseline,GPT-4.1,GPT-5 Mini,0.030293685055344022,-0.06995584382817976,0.1305432139388678,5.434720759411352,0.4797578602007625,False,0.7353817278897549,False
baseline,GPT-4.1 Nano,GPT-5.1,-0.0999250560098931,-0.2233256789897069,0.023475566969920703,6.187515914754232,0.0953033720968167,False,0.2042215116360358,False
baseline,GPT-4.1 Nano,GPT-5 Nano,0.005572783654364977,-0.1271550062547932,0.13830057356352315,7.62615212497569,0.9247248844181672,False,0.9273536188470456,False
baseline,GPT-4.1 Nano,GPT-5 Mini,0.010382821024952249,-0.12364452736806547,0.14441016941796997,7.713016603305828,0.8619393285269374,False,0.9273536188470456,False
baseline,GPT-5 Nano,GPT-5.1,-0.10549783966425808,-0.20727775842482163,-0.0037179209036945216,7.06694811657771,0.04402739498398609,True,0.2042215116360358,False
baseline,GPT-5 Mini,GPT-5.1,-0.11030787703484535,-0.21455128477583651,-0.006064469293854194,6.948830661802471,0.04087886867122958,True,0.2042215116360358,False
baseline,GPT-5 Mini,GPT-5 Nano,-0.004810037370587272,-0.12271511195862904,0.1130950372174545,7.9929076891716395,0.9273536188470457,False,0.9273536188470456,False
