model,mean_repeat_correlation,repeat_sd,repeat_se,repeat_ci_low,repeat_ci_high,repeat_min,repeat_max,n_repeats,avg_prediction_correlation,mean_repeat_minus_avg_prediction
GPT-5.1,0.6166538481658772,0.05440645338523103,0.024331305636810026,0.5490993137274844,0.68420838260427,0.530755954052544,0.6802429975866384,5,0.6670423013839414,-0.05038845321806418
GPT-4.1 Mini,0.5938818323712572,0.045843863588961704,0.02050199906722917,0.536959157414279,0.6508045073282355,0.520869352474212,0.6421931099221534,5,0.6175755544170325,-0.023693722045775245
GPT-4.1,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.49277250962281055,0.5805068027499412,0.4947311444368005,0.5751415389442401,5,0.5474887777321004,-0.010849121545724483
GPT-4.1 Nano,0.5167287921559841,0.09972048892742849,0.04459635839824904,0.3929094511715188,0.6405481331404494,0.3435794190259667,0.5844057716699012,5,0.5472189502871063,-0.030490158131122214
GPT-5 Nano,0.5111560085016191,0.07961752219744764,0.035606038366718266,0.41229779756285917,0.610014219440379,0.4231474603853885,0.586127691627856,5,0.5338802170546562,-0.02272420855303703
GPT-5 Mini,0.5063459711310319,0.08202556946068738,0.03668294984144555,0.40449777459953395,0.6081941676625298,0.4037802080299411,0.6021703158126074,5,0.5310260340605653,-0.024680062929533397
